episode_variant,capture_kind,model,episodes_experienced_bin,n_responses,share_of_model,captured,normal_stop,hit_max_censored
lineage,primary,M0,0,762,0.08612115732368897,0,759,3
lineage,primary,M0,1,909,0.10273508137432188,229,677,3
lineage,primary,M0,2,836,0.09448462929475587,207,629,0
lineage,primary,M0,3,730,0.08250452079566004,200,530,0
lineage,primary,M0,4,604,0.06826401446654612,167,437,0
lineage,primary,M0,5,550,0.06216094032549729,142,408,0
lineage,primary,M0,6-10,1893,0.21394665461121157,475,1418,0
lineage,primary,M0,11-20,1618,0.18286618444846292,476,1141,1
lineage,primary,M0,>20,946,0.10691681735985534,400,543,3
lineage,primary,M1,0,158,0.017857142857142856,0,152,6
lineage,primary,M1,1,671,0.07583634719710669,420,245,6
lineage,primary,M1,2,692,0.07820976491862568,462,224,6
lineage,primary,M1,3,733,0.08284358047016274,474,257,2
lineage,primary,M1,4,649,0.0733499095840868,396,248,5
lineage,primary,M1,5,602,0.0680379746835443,375,224,3
lineage,primary,M1,6-10,2236,0.2527124773960217,1352,877,7
lineage,primary,M1,11-20,2112,0.23869801084990958,1235,874,3
lineage,primary,M1,>20,995,0.11245479204339964,646,345,4
lineage,legacy,M0,0,762,0.08612115732368897,0,759,3
lineage,legacy,M0,1,902,0.10194394213381555,73,747,82
lineage,legacy,M0,2,822,0.09290235081374322,64,695,63
lineage,legacy,M0,3,712,0.08047016274864376,55,601,56
lineage,legacy,M0,4,593,0.06702079566003617,51,486,56
lineage,legacy,M0,5,535,0.06046564195298373,41,453,41
lineage,legacy,M0,6-10,1856,0.20976491862567812,112,1557,187
lineage,legacy,M0,11-20,1587,0.1793625678119349,92,1309,186
lineage,legacy,M0,>20,1079,0.12194846292947559,84,642,353
lineage,legacy,M1,0,158,0.017857142857142856,0,152,6
lineage,legacy,M1,1,656,0.07414104882459313,193,273,190
lineage,legacy,M1,2,656,0.07414104882459313,187,263,206
lineage,legacy,M1,3,698,0.0788878842676311,186,299,213
lineage,legacy,M1,4,630,0.07120253164556962,167,279,184
lineage,legacy,M1,5,577,0.0652124773960217,157,252,168
lineage,legacy,M1,6-10,2126,0.24028028933092224,503,1011,612
lineage,legacy,M1,11-20,2016,0.22784810126582278,424,1040,552
lineage,legacy,M1,>20,1331,0.15042947558770345,200,447,684
contiguous,primary,M0,0,762,0.08612115732368897,0,759,3
contiguous,primary,M0,1,1343,0.15178571428571427,406,934,3
contiguous,primary,M0,2,1438,0.16252260397830018,446,992,0
contiguous,primary,M0,3,1242,0.14037070524412296,361,881,0
contiguous,primary,M0,4,1071,0.12104430379746836,295,776,0
contiguous,primary,M0,5,822,0.09290235081374322,221,600,1
contiguous,primary,M0,6-10,1796,0.20298372513562388,441,1354,1
contiguous,primary,M0,11-20,366,0.041365280289330925,123,241,2
contiguous,primary,M0,>20,8,0.0009041591320072332,3,5,0
contiguous,primary,M1,0,158,0.017857142857142856,0,152,6
contiguous,primary,M1,1,1163,0.13144213381555153,802,354,7
contiguous,primary,M1,2,1502,0.16975587703435804,1054,442,6
contiguous,primary,M1,3,1425,0.16105334538878843,970,450,5
contiguous,primary,M1,4,1209,0.13664104882459313,737,466,6
contiguous,primary,M1,5,934,0.10556057866184448,536,396,2
contiguous,primary,M1,6-10,2065,0.23338607594936708,1064,996,5
contiguous,primary,M1,11-20,380,0.04294755877034358,193,184,3
contiguous,primary,M1,>20,12,0.00135623869801085,4,6,2
contiguous,legacy,M0,0,762,0.08612115732368897,0,759,3
contiguous,legacy,M0,1,1335,0.15088155515370705,113,1057,165
contiguous,legacy,M0,2,1434,0.16207052441229655,118,1129,187
contiguous,legacy,M0,3,1246,0.14082278481012658,98,994,154
contiguous,legacy,M0,4,1070,0.12093128390596745,82,875,113
contiguous,legacy,M0,5,824,0.09312839059674503,49,673,102
contiguous,legacy,M0,6-10,1801,0.2035488245931284,91,1488,222
contiguous,legacy,M0,11-20,368,0.04159132007233273,21,268,79
contiguous,legacy,M0,>20,8,0.0009041591320072332,0,6,2
contiguous,legacy,M1,0,158,0.017857142857142856,0,152,6
contiguous,legacy,M1,1,1148,0.12974683544303797,305,411,432
contiguous,legacy,M1,2,1502,0.16975587703435804,375,525,602
contiguous,legacy,M1,3,1421,0.1606012658227848,397,540,484
contiguous,legacy,M1,4,1212,0.13698010849909584,297,533,382
contiguous,legacy,M1,5,934,0.10556057866184448,197,475,262
contiguous,legacy,M1,6-10,2077,0.23474231464737794,374,1150,553
contiguous,legacy,M1,11-20,384,0.0433996383363472,71,224,89
contiguous,legacy,M1,>20,12,0.00135623869801085,1,6,5
