episode_variant,capture_kind,scope,metric,m0,m1,diff_or_value,ci_low,ci_high,n_m0,n_m1,direction
lineage,primary,slot,pooled_capture_hazard,0.028774453899464866,0.06007486942682298,0.031300415527358114,0.02919976154465628,0.03354496083946487,nan,nan,UP
lineage,primary,slot,pooled_gap_stop_hazard,0.040092864360294474,0.015421612319639942,-0.024671252040654533,-0.027270424511729775,-0.022250439367812503,nan,nan,DOWN
lineage,primary,slot,pooled_inepisode_stop_hazard,0.04021656034990538,0.022953979960099527,-0.017262580389805854,-0.019213713403825074,-0.015460041433573435,nan,nan,DOWN
lineage,primary,slot,cif_capture_final,0.2600263062465646,0.6087611732765427,0.3487348670299781,0.3331838949337927,0.36445967580688643,nan,nan,UP
lineage,primary,slot,cif_stop_final,0.7399736937534356,0.39123882672345733,-0.34873486702997825,-0.36445967580688693,-0.3331838949337911,nan,nan,DOWN
lineage,primary,slot,propensity_component,nan,nan,0.158357768400536,0.14665498899231424,0.17004725690194236,nan,nan,UP
lineage,primary,slot,exposure_component,nan,nan,0.1904281605906203,0.17923946745444833,0.20265925028526746,nan,nan,UP
lineage,primary,slot,decomposition_total,nan,nan,0.3487859289911563,0.33328881626518814,0.36455141897466975,nan,nan,UP
lineage,primary,slot,identity_error,nan,nan,0.0,0.0,0.0,nan,nan,UNRESOLVED
lineage,primary,slot,raw_cif_diff,nan,nan,0.3487348670299781,0.3331838949337927,0.36445967580688643,nan,nan,UP
lineage,primary,slot,hazard_k1,0.028320554044026714,0.04833141542002301,0.020010861375996298,0.014263546545509702,0.026008467950083946,nan,nan,UP
lineage,primary,slot,hazard_k2,0.028842134596628117,0.05761316872427984,0.02877103412765172,0.0224623527878166,0.035290688670662027,nan,nan,UP
lineage,primary,slot,hazard_k3,0.03154076644062451,0.0646922342022656,0.03315146776164109,0.026102750530099972,0.04022444853786555,nan,nan,UP
lineage,primary,slot,hazard_k4,0.029762965603279273,0.06005459508644222,0.030291629483162944,0.023217569929006747,0.037560532062561554,nan,nan,UP
lineage,primary,slot,hazard_k5,0.02836029558617935,0.06307821698906645,0.0347179214028871,0.027364330794358505,0.042276064155937425,nan,nan,UP
lineage,primary,slot,hazard_k6,0.026699573704285395,0.05951712521055587,0.03281755150627047,0.024709274050174836,0.04124074798712748,nan,nan,UP
lineage,primary,slot,hazard_k7,0.02389937106918239,0.06428276147168252,0.04038339040250013,0.03198492326133159,0.049284676287826006,nan,nan,UP
lineage,primary,slot,hazard_k8,0.027926657263751764,0.06303394135303625,0.035107284089284485,0.02611348455266687,0.044528796670044786,nan,nan,UP
lineage,primary,slot,hazard_k9plus_pooled,0.029162218351407542,0.061124950832568505,0.031962732481160966,0.028752786432979464,0.035310013935513467,nan,nan,UP
lineage,primary,slot,cif_capture_at_k1,0.025891157511542955,0.047501128898340884,0.02160997138679793,0.01608146395804764,0.027368618151750197,nan,nan,UP
lineage,primary,slot,cif_capture_at_k2,0.049304737745773625,0.09979115858899135,0.05048642084321772,0.04261295401813799,0.05873942671977224,nan,nan,UP
lineage,primary,slot,cif_capture_at_k3,0.07192655439720422,0.15348330280208974,0.08155674840488553,0.07185453837366297,0.09157009317162144,nan,nan,UP
lineage,primary,slot,cif_capture_at_k5,0.10687726112366448,0.24087990849115598,0.1340026473674915,0.12239074345879927,0.14602628741277116,nan,nan,UP
lineage,primary,slot,cif_capture_at_k8,0.14228040418315338,0.34326871956225136,0.20098831537909798,0.18783777519825187,0.21440564498711875,nan,nan,UP
lineage,primary,response,capture_rate,0.25949367088607594,0.6057866184448463,0.3462929475587703,0.33080639692585895,0.36222875226039775,8848,8848,UP
lineage,primary,response,stop_rate,0.739376130198915,0.38946654611211573,-0.3499095840867993,-0.36550632911392406,-0.3344230334538879,8848,8848,DOWN
lineage,primary,response,censor_rate,0.0011301989150090416,0.004746835443037975,0.0036166365280289334,0.0020343580470162746,0.0054249547920434,8848,8848,UP
lineage,primary,response,stable_orbit_rate,0.06498643761301989,0.22875226039783003,0.16376582278481014,0.1517857142857143,0.17597197106690776,8848,8848,UP
lineage,primary,response,mean_episodes_experienced,9.018196202531646,10.083860759493671,1.065664556962025,0.7036533679927658,1.4186511075949368,8848,8848,UP
lineage,primary,response,zero_episode_rate,0.08612115732368897,0.017857142857142856,-0.06826401446654612,-0.07730560578661844,-0.059561482820976494,8848,8848,DOWN
lineage,primary,response,mean_reuse_blocks,93.312952079566,253.4126356238698,160.0996835443038,152.9314590867993,167.20505481464735,8848,8848,UP
lineage,primary,response,captured_episode_ordinal_mean,12.417682926829269,10.338619402985074,-2.0790635238441943,-2.8691026175875427,-1.2830611683268576,2296,5360,DOWN
lineage,primary,response,recovered_before_capture_mean,11.417682926829269,9.338619402985074,-2.0790635238441943,-2.8691026175875427,-1.2830611683268576,2296,5360,DOWN
lineage,primary,response,capture_in_first_episode_rate,0.09973867595818815,0.07835820895522388,-0.021380467002964268,-0.036463595997810544,-0.006535307980484666,2296,5360,DOWN
lineage,primary,response,orbit_given_captured,0.24912891986062718,0.3763059701492537,0.12717705028862653,0.10127002782505115,0.15276827626986186,2296,5360,UP
lineage,primary,response,orbit_given_uncaptured,0.0004578754578754579,0.0020068807339449542,0.0015490052760694963,0.00012159390731960706,0.0031953901735986834,6552,3488,UP
lineage,primary,response,stop_in_episode_share,0.49038461538461536,0.5900229357798165,0.0996383203952011,0.07769296018006985,0.1211258866543962,6552,3488,UP
lineage,primary,response,capture_first_episode_after_last_new_rate,0.384581881533101,0.3792910447761194,-0.0052908367569816095,-0.029410257815067207,0.01882162308210825,2296,5360,UNRESOLVED
lineage,legacy,slot,pooled_capture_hazard,0.005623998348196289,0.013494798113270666,0.007870799765074377,0.0067822686793740745,0.008999954779309724,nan,nan,UP
lineage,legacy,slot,pooled_gap_stop_hazard,0.03178425922400335,0.00931067845356589,-0.022473580770437464,-0.025254051596830782,-0.0200387387225986,nan,nan,DOWN
lineage,legacy,slot,pooled_inepisode_stop_hazard,0.03844376493260051,0.017468972669186768,-0.02097479226341374,-0.023776087590444955,-0.018402702686838256,nan,nan,DOWN
lineage,legacy,slot,cif_capture_final,0.07390482556668203,0.2937927312895334,0.21988790572285138,0.20492921497331115,0.23562450707854551,nan,nan,UP
lineage,legacy,slot,cif_stop_final,0.8946053966860539,0.6035963942488342,-0.2910090024372197,-0.30859454419184523,-0.27290189973615736,nan,nan,DOWN
lineage,legacy,slot,propensity_component,nan,nan,0.1314776916612638,0.11731196590576956,0.14535853450158354,nan,nan,UP
lineage,legacy,slot,exposure_component,nan,nan,0.08841021406158764,0.08024264898836199,0.09707576679788221,nan,nan,UP
lineage,legacy,slot,decomposition_total,nan,nan,0.21988790572285144,0.2049292149733112,0.23562450707854557,nan,nan,UP
lineage,legacy,slot,identity_error,nan,nan,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,nan,nan,UNRESOLVED
lineage,legacy,slot,raw_cif_diff,nan,nan,0.21988790572285138,0.20492921497331115,0.23562450707854551,nan,nan,UP
lineage,legacy,slot,hazard_k1,0.009027949542418996,0.022209436133486766,0.01318148659106777,0.009120593822471988,0.017206462745814423,nan,nan,UP
lineage,legacy,slot,hazard_k2,0.008908685968819599,0.023276076674134928,0.01436739070531533,0.010436901127924699,0.0182441786971451,nan,nan,UP
lineage,legacy,slot,hazard_k3,0.008645080163470606,0.025210084033613446,0.01656500387014284,0.011961269303200598,0.02109195952048117,nan,nan,UP
lineage,legacy,slot,hazard_k4,0.009026548672566371,0.025,0.01597345132743363,0.011295307424731687,0.020650191048469196,nan,nan,UP
