episode_variant,capture_kind,component,value,ci_low,ci_high,share_of_total,direction
lineage,primary,propensity_component,0.158357768400536,0.14665498899231424,0.17004725690194236,0.45402567947215344,UP
lineage,primary,exposure_component,0.1904281605906203,0.17923946745444833,0.20265925028526746,0.5459743205278466,UP
lineage,primary,decomposition_total,0.3487859289911563,0.33328881626518814,0.36455141897466975,1.0,UP
lineage,primary,raw_cif_diff,0.3487348670299781,0.3331838949337927,0.36445967580688643,0.9998536008567608,UP
lineage,primary,identity_error,0.0,0.0,0.0,0.0,UNRESOLVED
lineage,legacy,propensity_component,0.1314776916612638,0.11731196590576956,0.14535853450158354,0.5979305284165077,UP
lineage,legacy,exposure_component,0.08841021406158764,0.08024264898836199,0.09707576679788221,0.40206947158349227,UP
lineage,legacy,decomposition_total,0.21988790572285144,0.2049292149733112,0.23562450707854557,1.0,UP
lineage,legacy,raw_cif_diff,0.21988790572285138,0.20492921497331115,0.23562450707854551,0.9999999999999998,UP
lineage,legacy,identity_error,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,UNRESOLVED
contiguous,primary,propensity_component,0.18712020545063615,0.17423709069283505,0.20048264428471807,0.5368008176997033,UP
contiguous,primary,exposure_component,0.16146384897104468,0.15136316131056038,0.17085232482117016,0.46319918230029666,UP
contiguous,primary,decomposition_total,0.34858405442168083,0.33264326933541166,0.3645168720356304,1.0,UP
contiguous,primary,raw_cif_diff,0.34847258734381237,0.33253717769349567,0.3644290725039162,0.9996802289822081,UP
contiguous,primary,identity_error,0.0,0.0,0.0,0.0,UNRESOLVED
contiguous,legacy,propensity_component,0.1579660637844968,0.14337813039777766,0.17281785386743892,0.6697589970385711,UP
contiguous,legacy,exposure_component,0.07788901913781533,0.07011495693787272,0.08663595371297059,0.3302410029614289,UP
contiguous,legacy,decomposition_total,0.2358550829223121,0.2189456257987652,0.2534842982250609,1.0,UP
contiguous,legacy,raw_cif_diff,0.23586804015299842,0.21905814595647807,0.253493010028539,1.0000549372543757,UP
contiguous,legacy,identity_error,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,UNRESOLVED
