episode_variant,capture_kind,model,episodes_experienced_bin,n_responses,share_of_model,captured,normal_stop,hit_max_censored
lineage,primary,M0,0,2434,0.2750904159132007,0,2427,7
lineage,primary,M0,1,1562,0.1765370705244123,79,1482,1
lineage,primary,M0,2,954,0.10782097649186256,54,900,0
lineage,primary,M0,3,788,0.08905967450271247,67,721,0
lineage,primary,M0,4,580,0.06555153707052441,46,534,0
lineage,primary,M0,5,459,0.05187613019891501,41,418,0
lineage,primary,M0,6-10,1262,0.14263110307414104,124,1138,0
lineage,primary,M0,11-20,693,0.07832278481012658,71,622,0
lineage,primary,M0,>20,116,0.013110307414104882,6,110,0
lineage,primary,M1,0,1362,0.15393309222423146,0,1358,4
lineage,primary,M1,1,1263,0.14274412296564196,70,1192,1
lineage,primary,M1,2,999,0.11290687160940326,84,915,0
lineage,primary,M1,3,847,0.09572784810126582,78,769,0
lineage,primary,M1,4,748,0.08453887884267632,62,686,0
lineage,primary,M1,5,586,0.06622965641952984,44,542,0
lineage,primary,M1,6-10,1828,0.2066003616636528,114,1714,0
lineage,primary,M1,11-20,1038,0.11731464737793852,49,989,0
lineage,primary,M1,>20,177,0.020004520795660036,7,170,0
lineage,legacy,M0,0,2434,0.2750904159132007,0,2427,7
lineage,legacy,M0,1,1553,0.17551989150090416,10,1533,10
lineage,legacy,M0,2,955,0.10793399638336347,9,943,3
lineage,legacy,M0,3,785,0.08872061482820977,13,767,5
lineage,legacy,M0,4,575,0.06498643761301989,3,571,1
lineage,legacy,M0,5,458,0.0517631103074141,3,452,3
lineage,legacy,M0,6-10,1252,0.141500904159132,12,1228,12
lineage,legacy,M0,11-20,702,0.07933996383363472,2,694,6
lineage,legacy,M0,>20,134,0.015144665461121157,0,129,5
lineage,legacy,M1,0,1362,0.15393309222423146,0,1358,4
lineage,legacy,M1,1,1259,0.14229204339963833,14,1242,3
lineage,legacy,M1,2,996,0.11256781193490054,16,975,5
lineage,legacy,M1,3,843,0.0952757685352622,10,827,6
lineage,legacy,M1,4,747,0.08442585895117541,13,729,5
lineage,legacy,M1,5,580,0.06555153707052441,6,570,4
lineage,legacy,M1,6-10,1823,0.2060352622061483,13,1805,5
lineage,legacy,M1,11-20,1048,0.11844484629294756,3,1042,3
lineage,legacy,M1,>20,190,0.02147377938517179,0,187,3
contiguous,primary,M0,0,2434,0.2750904159132007,0,2427,7
contiguous,primary,M0,1,1970,0.2226491862567812,126,1843,1
contiguous,primary,M0,2,1401,0.15834086799276673,119,1282,0
contiguous,primary,M0,3,1035,0.1169755877034358,101,934,0
contiguous,primary,M0,4,719,0.08126130198915009,48,671,0
contiguous,primary,M0,5,454,0.05131103074141049,36,418,0
contiguous,primary,M0,6-10,767,0.08668625678119349,56,711,0
contiguous,primary,M0,11-20,68,0.0076853526220614825,2,66,0
contiguous,primary,M0,>20,0,0.0,0,0,0
contiguous,primary,M1,0,1362,0.15393309222423146,0,1358,4
contiguous,primary,M1,1,1669,0.18863019891500904,128,1540,1
contiguous,primary,M1,2,1521,0.17190325497287523,149,1372,0
contiguous,primary,M1,3,1284,0.14511754068716093,95,1189,0
contiguous,primary,M1,4,977,0.11042043399638336,55,922,0
contiguous,primary,M1,5,653,0.07380198915009041,27,626,0
contiguous,primary,M1,6-10,1218,0.13765822784810128,51,1167,0
contiguous,primary,M1,11-20,161,0.01819620253164557,3,158,0
contiguous,primary,M1,>20,3,0.0003390596745027125,0,3,0
contiguous,legacy,M0,0,2434,0.2750904159132007,0,2427,7
contiguous,legacy,M0,1,1962,0.22174502712477395,14,1932,16
contiguous,legacy,M0,2,1402,0.15845388788426762,16,1373,13
contiguous,legacy,M0,3,1039,0.11742766726943941,11,1019,9
contiguous,legacy,M0,4,720,0.081374321880651,3,713,4
contiguous,legacy,M0,5,454,0.05131103074141049,3,449,2
contiguous,legacy,M0,6-10,769,0.0869122965641953,4,764,1
contiguous,legacy,M0,11-20,68,0.0076853526220614825,1,67,0
contiguous,legacy,M0,>20,0,0.0,0,0,0
contiguous,legacy,M1,0,1362,0.15393309222423146,0,1358,4
contiguous,legacy,M1,1,1664,0.18806509945750452,20,1629,15
contiguous,legacy,M1,2,1524,0.17224231464737794,21,1492,11
contiguous,legacy,M1,3,1284,0.14511754068716093,17,1264,3
contiguous,legacy,M1,4,976,0.11030741410488246,9,966,1
contiguous,legacy,M1,5,654,0.07391500904159132,4,650,0
contiguous,legacy,M1,6-10,1220,0.13788426763110306,4,1213,3
contiguous,legacy,M1,11-20,161,0.01819620253164557,0,160,1
contiguous,legacy,M1,>20,3,0.0003390596745027125,0,3,0
