episode_variant,capture_kind,scope,metric,m0,m1,diff_or_value,ci_low,ci_high,n_m0,n_m1,direction
lineage,primary,slot,pooled_capture_hazard,0.014928112572652186,0.01127686023796839,-0.003651252334683797,-0.005307629684218508,-0.002021229720839298,nan,nan,DOWN
lineage,primary,slot,pooled_gap_stop_hazard,0.15153874098292594,0.10091798044302534,-0.0506207605399006,-0.05663918393885313,-0.04511482262847491,nan,nan,DOWN
lineage,primary,slot,pooled_inepisode_stop_hazard,0.07684307127561946,0.07276682649618185,-0.0040762447794376044,-0.007245625563931522,-0.0009521230807058034,nan,nan,DOWN
lineage,primary,slot,cif_capture_final,0.05522343717257757,0.05745274205344438,0.0022293048808668114,-0.004204661630065575,0.008729163158707625,nan,nan,UNRESOLVED
lineage,primary,slot,cif_stop_final,0.9447765628274232,0.9425472579465558,-0.0022293048808673666,-0.008729163158708276,0.004204661630065627,nan,nan,UNRESOLVED
lineage,primary,slot,propensity_component,nan,nan,-0.015471959780082072,-0.02226965969701005,-0.008741951835216722,nan,nan,DOWN
lineage,primary,slot,exposure_component,nan,nan,0.017696985152510575,0.015331338499984973,0.020235361983864223,nan,nan,UP
lineage,primary,slot,decomposition_total,nan,nan,0.0022250253724285032,-0.004208045767515882,0.008723700981575197,nan,nan,UNRESOLVED
lineage,primary,slot,identity_error,nan,nan,0.0,0.0,0.0,nan,nan,UNRESOLVED
lineage,primary,slot,raw_cif_diff,nan,nan,0.0022293048808668114,-0.004204661630065575,0.008729163158707625,nan,nan,UNRESOLVED
lineage,primary,slot,hazard_k1,0.012316806984720922,0.009350788137857334,-0.0029660188468635888,-0.00630485974055051,0.0004937596761669833,nan,nan,UNRESOLVED
lineage,primary,slot,hazard_k2,0.011129431162407255,0.013498312710911136,0.002368881548503881,-0.001820037818928921,0.006589930264772819,nan,nan,UNRESOLVED
lineage,primary,slot,hazard_k3,0.01718830169317599,0.014931087289433384,-0.002257214403742604,-0.0074876669551918315,0.002870288375310003,nan,nan,UNRESOLVED
lineage,primary,slot,hazard_k4,0.014790996784565916,0.014164953164267764,-0.0006260436202981529,-0.006198707400930175,0.004862393948116069,nan,nan,UNRESOLVED
lineage,primary,slot,hazard_k5,0.016205533596837945,0.01212455221824194,-0.004080981378596004,-0.011225565181678434,0.002382681277749226,nan,nan,UNRESOLVED
lineage,primary,slot,hazard_k6,0.016417189763399325,0.009201445941505093,-0.007215743821894232,-0.013291902397315168,-0.001603865848961091,nan,nan,DOWN
lineage,primary,slot,hazard_k7,0.019744483159117306,0.009467455621301775,-0.010277027537815531,-0.01752172358803506,-0.003176054156541849,nan,nan,DOWN
lineage,primary,slot,hazard_k8,0.015239477503628448,0.015130023640661938,-0.00010945386296650969,-0.00864221154821471,0.00811777720253218,nan,nan,UNRESOLVED
lineage,primary,slot,hazard_k9plus_pooled,0.016679076693968727,0.00825652841781874,-0.008422548276149987,-0.012301113668927473,-0.004734003161960947,nan,nan,DOWN
lineage,primary,slot,cif_capture_at_k1,0.008938315737894784,0.007915619705306446,-0.0010226960325883383,-0.0036213725653427135,0.0016892807296263292,nan,nan,UNRESOLVED
lineage,primary,slot,cif_capture_at_k2,0.01504930976594581,0.01741588974467536,0.0023665799787295494,-0.0014692656366915025,0.006117827460024522,nan,nan,UNRESOLVED
lineage,primary,slot,cif_capture_at_k3,0.022631469022972084,0.0262375690669465,0.0036061000439744154,-0.0010160540873431663,0.008246510503679945,nan,nan,UNRESOLVED
lineage,primary,slot,cif_capture_at_k5,0.03247695940149874,0.03822600506900728,0.005749045667508543,0.00021546368313402623,0.01131974236215314,nan,nan,UP
lineage,primary,slot,cif_capture_at_k8,0.04254878289217543,0.0477262751083762,0.005177492216200771,-0.0007260362919571596,0.011106913499052047,nan,nan,UNRESOLVED
lineage,primary,response,capture_rate,0.05515370705244123,0.057414104882459314,0.0022603978300180863,-0.004181735985533452,0.008815551537070525,8848,8848,UNRESOLVED
lineage,primary,response,stop_rate,0.9439421338155516,0.9420207956600362,-0.0019213381555154285,-0.008589511754068746,0.004633815551537079,8848,8848,UNRESOLVED
lineage,primary,response,censor_rate,0.0009041591320072332,0.0005650994575045208,-0.0003390596745027124,-0.001469258589511754,0.0005650994575045209,8848,8848,UNRESOLVED
lineage,primary,response,stable_orbit_rate,0.00599005424954792,0.008476491862567812,0.002486437613019891,0.00033905967450271156,0.004746835443037975,8848,8848,UP
lineage,primary,response,mean_episodes_experienced,3.694620253164557,5.0913200723327305,1.3966998191681737,1.2603893535262212,1.5354938969258587,8848,8848,UP
lineage,primary,response,zero_episode_rate,0.2750904159132007,0.15393309222423146,-0.12115732368896925,-0.13223327305605787,-0.11064647377938519,8848,8848,DOWN
lineage,primary,response,mean_reuse_blocks,12.575384267631103,15.655176311030742,3.079792043399639,1.7863924050632907,4.397564421338155,8848,8848,UP
lineage,primary,response,captured_episode_ordinal_mean,5.870901639344262,5.248031496062992,-0.6228701432812702,-1.214928889490887,-0.04941805692689046,488,508,DOWN
lineage,primary,response,recovered_before_capture_mean,4.870901639344262,4.248031496062992,-0.6228701432812702,-1.214928889490887,-0.04941805692689046,488,508,DOWN
lineage,primary,response,capture_in_first_episode_rate,0.16188524590163936,0.1377952755905512,-0.02408997031108817,-0.06703676151805389,0.02045902519029184,488,508,UNRESOLVED
lineage,primary,response,orbit_given_captured,0.10655737704918032,0.14763779527559054,0.04108041822641022,0.0024582444379033772,0.07955882330724674,488,508,UP
lineage,primary,response,orbit_given_uncaptured,0.00011961722488038278,0.0,-0.00011961722488038278,-0.0003606647051784855,0.0,8360,8340,UNRESOLVED
lineage,primary,response,stop_in_episode_share,0.3004784688995215,0.39304556354916065,0.09256709464963914,0.07906029068369234,0.10604076716019632,8360,8340,UP
lineage,primary,response,capture_first_episode_after_last_new_rate,0.514344262295082,0.5767716535433071,0.06242739124822505,0.002059510000984553,0.12243804852413069,488,508,UP
lineage,legacy,slot,pooled_capture_hazard,0.0015461925009663702,0.0016352694924123496,8.907699144597935e-05,-0.0004231101689129942,0.0005997967772413168,nan,nan,UNRESOLVED
lineage,legacy,slot,pooled_gap_stop_hazard,0.14803464694559823,0.0993363179390512,-0.048698329006547025,-0.05527033500078446,-0.04269157129724073,nan,nan,DOWN
lineage,legacy,slot,pooled_inepisode_stop_hazard,0.08620023192887515,0.0801500087214373,-0.006050223207437852,-0.009839141073769408,-0.0023984293255477347,nan,nan,DOWN
lineage,legacy,slot,cif_capture_final,0.00590546554879942,0.008500533791547523,0.0025950682427481027,0.00033348452584614136,0.004858510111013937,nan,nan,UP
lineage,legacy,slot,cif_stop_final,0.9940945344512011,0.9912446025476224,-0.0028499319035787396,-0.005086156794028398,-0.0003354896717843894,nan,nan,DOWN
