episode_variant,capture_kind,model,episodes_experienced_bin,n_responses,share_of_model,captured,normal_stop,hit_max_censored
lineage,primary,M0,0,2434,0.2750904159132007,0,2427,7
lineage,primary,M0,1,1562,0.1765370705244123,79,1482,1
lineage,primary,M0,2,954,0.10782097649186256,54,900,0
lineage,primary,M0,3,788,0.08905967450271247,67,721,0
lineage,primary,M0,4,580,0.06555153707052441,46,534,0
lineage,primary,M0,5,459,0.05187613019891501,41,418,0
lineage,primary,M0,6-10,1262,0.14263110307414104,124,1138,0
lineage,primary,M0,11-20,693,0.07832278481012658,71,622,0
lineage,primary,M0,>20,116,0.013110307414104882,6,110,0
lineage,primary,M1,0,1833,0.20716546112115733,0,1832,1
lineage,primary,M1,1,1428,0.16139240506329114,63,1365,0
lineage,primary,M1,2,1129,0.12759945750452079,55,1074,0
lineage,primary,M1,3,822,0.09290235081374322,45,777,0
lineage,primary,M1,4,671,0.07583634719710669,43,628,0
lineage,primary,M1,5,527,0.059561482820976494,28,499,0
lineage,primary,M1,6-10,1524,0.17224231464737794,75,1449,0
lineage,primary,M1,11-20,775,0.08759041591320073,28,747,0
lineage,primary,M1,>20,139,0.015709764918625677,6,133,0
lineage,legacy,M0,0,2434,0.2750904159132007,0,2427,7
lineage,legacy,M0,1,1553,0.17551989150090416,10,1533,10
lineage,legacy,M0,2,955,0.10793399638336347,9,943,3
lineage,legacy,M0,3,785,0.08872061482820977,13,767,5
lineage,legacy,M0,4,575,0.06498643761301989,3,571,1
lineage,legacy,M0,5,458,0.0517631103074141,3,452,3
lineage,legacy,M0,6-10,1252,0.141500904159132,12,1228,12
lineage,legacy,M0,11-20,702,0.07933996383363472,2,694,6
lineage,legacy,M0,>20,134,0.015144665461121157,0,129,5
lineage,legacy,M1,0,1833,0.20716546112115733,0,1832,1
lineage,legacy,M1,1,1426,0.16116636528028933,11,1412,3
lineage,legacy,M1,2,1125,0.1271473779385172,10,1115,0
lineage,legacy,M1,3,822,0.09290235081374322,8,814,0
lineage,legacy,M1,4,668,0.07549728752260398,3,664,1
lineage,legacy,M1,5,526,0.05944846292947559,1,524,1
lineage,legacy,M1,6-10,1515,0.1712251356238698,3,1509,3
lineage,legacy,M1,11-20,785,0.08872061482820977,1,783,1
lineage,legacy,M1,>20,148,0.016726943942133816,1,145,2
contiguous,primary,M0,0,2434,0.2750904159132007,0,2427,7
contiguous,primary,M0,1,1970,0.2226491862567812,126,1843,1
contiguous,primary,M0,2,1401,0.15834086799276673,119,1282,0
contiguous,primary,M0,3,1035,0.1169755877034358,101,934,0
contiguous,primary,M0,4,719,0.08126130198915009,48,671,0
contiguous,primary,M0,5,454,0.05131103074141049,36,418,0
contiguous,primary,M0,6-10,767,0.08668625678119349,56,711,0
contiguous,primary,M0,11-20,68,0.0076853526220614825,2,66,0
contiguous,primary,M0,>20,0,0.0,0,0,0
contiguous,primary,M1,0,1833,0.20716546112115733,0,1832,1
contiguous,primary,M1,1,1867,0.21100813743218808,100,1767,0
contiguous,primary,M1,2,1539,0.1739376130198915,99,1440,0
contiguous,primary,M1,3,1118,0.12635623869801085,70,1048,0
contiguous,primary,M1,4,841,0.09504972875226039,32,809,0
contiguous,primary,M1,5,566,0.06396925858951176,19,547,0
contiguous,primary,M1,6-10,989,0.11177667269439422,21,968,0
contiguous,primary,M1,11-20,92,0.010397830018083183,2,90,0
contiguous,primary,M1,>20,3,0.0003390596745027125,0,3,0
contiguous,legacy,M0,0,2434,0.2750904159132007,0,2427,7
contiguous,legacy,M0,1,1962,0.22174502712477395,14,1932,16
contiguous,legacy,M0,2,1402,0.15845388788426762,16,1373,13
contiguous,legacy,M0,3,1039,0.11742766726943941,11,1019,9
contiguous,legacy,M0,4,720,0.081374321880651,3,713,4
contiguous,legacy,M0,5,454,0.05131103074141049,3,449,2
contiguous,legacy,M0,6-10,769,0.0869122965641953,4,764,1
contiguous,legacy,M0,11-20,68,0.0076853526220614825,1,67,0
contiguous,legacy,M0,>20,0,0.0,0,0,0
contiguous,legacy,M1,0,1833,0.20716546112115733,0,1832,1
contiguous,legacy,M1,1,1865,0.21078209764918626,14,1847,4
contiguous,legacy,M1,2,1538,0.1738245931283906,12,1522,4
contiguous,legacy,M1,3,1119,0.12646925858951175,8,1110,1
contiguous,legacy,M1,4,840,0.0949367088607595,0,839,1
contiguous,legacy,M1,5,568,0.06419529837251356,1,567,0
contiguous,legacy,M1,6-10,990,0.11188969258589512,3,986,1
contiguous,legacy,M1,11-20,92,0.010397830018083183,0,92,0
contiguous,legacy,M1,>20,3,0.0003390596745027125,0,3,0
