model,capture_kind,seed_ordinal_bin,count,denominator,share
M0,primary_semantic_capture,1,67,488,0.13729508196721313
M0,primary_semantic_capture,2,40,488,0.08196721311475409
M0,primary_semantic_capture,3-5,104,488,0.21311475409836064
M0,primary_semantic_capture,6-10,119,488,0.24385245901639344
M0,primary_semantic_capture,>10,158,488,0.3237704918032787
M0,legacy_aligned_capture,1,7,52,0.1346153846153846
M0,legacy_aligned_capture,2,4,52,0.07692307692307693
M0,legacy_aligned_capture,3-5,17,52,0.3269230769230769
M0,legacy_aligned_capture,6-10,17,52,0.3269230769230769
M0,legacy_aligned_capture,>10,7,52,0.1346153846153846
M1,primary_semantic_capture,1,217,2858,0.07592722183344996
M1,primary_semantic_capture,2,220,2858,0.07697690692792163
M1,primary_semantic_capture,3-5,562,2858,0.1966410076976907
M1,primary_semantic_capture,6-10,680,2858,0.23792862141357593
M1,primary_semantic_capture,>10,1179,2858,0.4125262421273618
M1,legacy_aligned_capture,1,30,622,0.04823151125401929
M1,legacy_aligned_capture,2,51,622,0.0819935691318328
M1,legacy_aligned_capture,3-5,167,622,0.2684887459807074
M1,legacy_aligned_capture,6-10,161,622,0.25884244372990356
M1,legacy_aligned_capture,>10,213,622,0.342443729903537
