episode_variant,capture_kind,model,episodes_experienced_bin,n_responses,share_of_model,captured,normal_stop,hit_max_censored
lineage,primary,M0,0,2434,0.2750904159132007,0,2427,7
lineage,primary,M0,1,1562,0.1765370705244123,79,1482,1
lineage,primary,M0,2,954,0.10782097649186256,54,900,0
lineage,primary,M0,3,788,0.08905967450271247,67,721,0
lineage,primary,M0,4,580,0.06555153707052441,46,534,0
lineage,primary,M0,5,459,0.05187613019891501,41,418,0
lineage,primary,M0,6-10,1262,0.14263110307414104,124,1138,0
lineage,primary,M0,11-20,693,0.07832278481012658,71,622,0
lineage,primary,M0,>20,116,0.013110307414104882,6,110,0
lineage,primary,M1,0,859,0.09708408679927667,0,850,9
lineage,primary,M1,1,999,0.11290687160940326,239,756,4
lineage,primary,M1,2,908,0.10262206148282098,303,602,3
lineage,primary,M1,3,839,0.0948236889692586,310,524,5
lineage,primary,M1,4,738,0.08340867992766728,283,452,3
lineage,primary,M1,5,613,0.06928119349005425,254,356,3
lineage,primary,M1,6-10,2077,0.23474231464737794,824,1252,1
lineage,primary,M1,11-20,1390,0.1570976491862568,526,861,3
lineage,primary,M1,>20,425,0.04803345388788427,119,303,3
lineage,legacy,M0,0,2434,0.2750904159132007,0,2427,7
lineage,legacy,M0,1,1553,0.17551989150090416,10,1533,10
lineage,legacy,M0,2,955,0.10793399638336347,9,943,3
lineage,legacy,M0,3,785,0.08872061482820977,13,767,5
lineage,legacy,M0,4,575,0.06498643761301989,3,571,1
lineage,legacy,M0,5,458,0.0517631103074141,3,452,3
lineage,legacy,M0,6-10,1252,0.141500904159132,12,1228,12
lineage,legacy,M0,11-20,702,0.07933996383363472,2,694,6
lineage,legacy,M0,>20,134,0.015144665461121157,0,129,5
lineage,legacy,M1,0,859,0.09708408679927667,0,850,9
lineage,legacy,M1,1,979,0.11064647377938518,55,816,108
lineage,legacy,M1,2,873,0.09866636528028933,69,673,131
lineage,legacy,M1,3,802,0.09064195298372514,88,602,112
lineage,legacy,M1,4,707,0.07990506329113924,78,542,87
lineage,legacy,M1,5,591,0.06679475587703436,52,437,102
lineage,legacy,M1,6-10,1986,0.22445750452079566,174,1518,294
lineage,legacy,M1,11-20,1384,0.15641952983725135,88,1093,203
lineage,legacy,M1,>20,667,0.07538426763110308,18,426,223
contiguous,primary,M0,0,2434,0.2750904159132007,0,2427,7
contiguous,primary,M0,1,1970,0.2226491862567812,126,1843,1
contiguous,primary,M0,2,1401,0.15834086799276673,119,1282,0
contiguous,primary,M0,3,1035,0.1169755877034358,101,934,0
contiguous,primary,M0,4,719,0.08126130198915009,48,671,0
contiguous,primary,M0,5,454,0.05131103074141049,36,418,0
contiguous,primary,M0,6-10,767,0.08668625678119349,56,711,0
contiguous,primary,M0,11-20,68,0.0076853526220614825,2,66,0
contiguous,primary,M0,>20,0,0.0,0,0,0
contiguous,primary,M1,0,859,0.09708408679927667,0,850,9
contiguous,primary,M1,1,1407,0.15901898734177214,442,958,7
contiguous,primary,M1,2,1483,0.16760849909584086,577,901,5
contiguous,primary,M1,3,1333,0.15065551537070523,528,797,8
contiguous,primary,M1,4,1092,0.12341772151898735,422,669,1
contiguous,primary,M1,5,829,0.09369349005424955,302,526,1
contiguous,primary,M1,6-10,1590,0.17970162748643762,533,1056,1
contiguous,primary,M1,11-20,252,0.028481012658227847,54,196,2
contiguous,primary,M1,>20,3,0.0003390596745027125,0,3,0
contiguous,legacy,M0,0,2434,0.2750904159132007,0,2427,7
contiguous,legacy,M0,1,1962,0.22174502712477395,14,1932,16
contiguous,legacy,M0,2,1402,0.15845388788426762,16,1373,13
contiguous,legacy,M0,3,1039,0.11742766726943941,11,1019,9
contiguous,legacy,M0,4,720,0.081374321880651,3,713,4
contiguous,legacy,M0,5,454,0.05131103074141049,3,449,2
contiguous,legacy,M0,6-10,769,0.0869122965641953,4,764,1
contiguous,legacy,M0,11-20,68,0.0076853526220614825,1,67,0
contiguous,legacy,M0,>20,0,0.0,0,0,0
contiguous,legacy,M1,0,859,0.09708408679927667,0,850,9
contiguous,legacy,M1,1,1384,0.15641952983725135,94,1059,231
contiguous,legacy,M1,2,1457,0.16466998191681737,124,1069,264
contiguous,legacy,M1,3,1314,0.14850813743218808,131,950,233
contiguous,legacy,M1,4,1094,0.12364376130198915,87,838,169
contiguous,legacy,M1,5,851,0.09617992766726943,68,647,136
contiguous,legacy,M1,6-10,1623,0.18343128390596744,102,1314,207
contiguous,legacy,M1,11-20,263,0.029724231464737794,16,227,20
contiguous,legacy,M1,>20,3,0.0003390596745027125,0,3,0
