episode_variant,capture_kind,model,episodes_experienced_bin,n_responses,share_of_model,captured,normal_stop,hit_max_censored
lineage,primary,M0,0,2364,0.26717902350813744,0,2362,2
lineage,primary,M0,1,1682,0.19009945750452079,84,1598,0
lineage,primary,M0,2,1076,0.12160940325497288,52,1024,0
lineage,primary,M0,3,742,0.08386075949367089,42,700,0
lineage,primary,M0,4,603,0.06815099457504521,47,555,1
lineage,primary,M0,5,477,0.05391048824593128,34,443,0
lineage,primary,M0,6-10,1231,0.13912748643761302,95,1136,0
lineage,primary,M0,11-20,582,0.06577757685352623,33,549,0
lineage,primary,M0,>20,91,0.010284810126582278,2,89,0
lineage,primary,M1,0,2138,0.2416365280289331,0,2137,1
lineage,primary,M1,1,1481,0.16738245931283907,89,1388,4
lineage,primary,M1,2,1056,0.11934900542495479,105,951,0
lineage,primary,M1,3,779,0.08804249547920434,122,657,0
lineage,primary,M1,4,592,0.06690777576853527,79,513,0
lineage,primary,M1,5,497,0.05617088607594937,80,416,1
lineage,primary,M1,6-10,1436,0.16229656419529837,247,1188,1
lineage,primary,M1,11-20,717,0.08103526220614828,94,623,0
lineage,primary,M1,>20,152,0.017179023508137433,22,130,0
lineage,legacy,M0,0,2364,0.26717902350813744,0,2362,2
lineage,legacy,M0,1,1675,0.18930831826401448,14,1656,5
lineage,legacy,M0,2,1076,0.12160940325497288,10,1064,2
lineage,legacy,M0,3,742,0.08386075949367089,6,731,5
lineage,legacy,M0,4,601,0.0679249547920434,5,592,4
lineage,legacy,M0,5,477,0.05391048824593128,3,471,3
lineage,legacy,M0,6-10,1225,0.13844936708860758,5,1214,6
lineage,legacy,M0,11-20,581,0.06566455696202532,2,573,6
lineage,legacy,M0,>20,107,0.012093128390596746,0,101,6
lineage,legacy,M1,0,2138,0.2416365280289331,0,2137,1
lineage,legacy,M1,1,1475,0.16670433996383363,21,1446,8
lineage,legacy,M1,2,1053,0.11900994575045208,21,1023,9
lineage,legacy,M1,3,770,0.08702531645569621,15,753,2
lineage,legacy,M1,4,587,0.06634267631103075,10,573,4
lineage,legacy,M1,5,492,0.05560578661844485,8,480,4
lineage,legacy,M1,6-10,1418,0.1602622061482821,26,1385,7
lineage,legacy,M1,11-20,735,0.08306962025316456,12,716,7
lineage,legacy,M1,>20,180,0.02034358047016275,1,172,7
contiguous,primary,M0,0,2364,0.26717902350813744,0,2362,2
contiguous,primary,M0,1,2114,0.2389240506329114,112,2002,0
contiguous,primary,M0,2,1438,0.16252260397830018,101,1336,1
contiguous,primary,M0,3,1058,0.1195750452079566,83,975,0
contiguous,primary,M0,4,690,0.07798372513562386,42,648,0
contiguous,primary,M0,5,453,0.05119801084990958,24,429,0
contiguous,primary,M0,6-10,661,0.07470614828209765,26,635,0
contiguous,primary,M0,11-20,68,0.0076853526220614825,1,67,0
contiguous,primary,M0,>20,2,0.0002260397830018083,0,2,0
contiguous,primary,M1,0,2138,0.2416365280289331,0,2137,1
contiguous,primary,M1,1,1863,0.21055605786618445,156,1703,4
contiguous,primary,M1,2,1491,0.1685126582278481,200,1291,0
contiguous,primary,M1,3,1098,0.12409584086799276,190,908,0
contiguous,primary,M1,4,807,0.09120705244122966,110,697,0
contiguous,primary,M1,5,520,0.05877034358047016,78,441,1
contiguous,primary,M1,6-10,811,0.09165913200723327,94,716,1
contiguous,primary,M1,11-20,117,0.013223327305605787,9,108,0
contiguous,primary,M1,>20,3,0.0003390596745027125,1,2,0
contiguous,legacy,M0,0,2364,0.26717902350813744,0,2362,2
contiguous,legacy,M0,1,2108,0.23824593128390598,17,2083,8
contiguous,legacy,M0,2,1438,0.16252260397830018,13,1415,10
contiguous,legacy,M0,3,1058,0.1195750452079566,8,1042,8
contiguous,legacy,M0,4,693,0.07832278481012658,4,684,5
contiguous,legacy,M0,5,455,0.051424050632911396,2,450,3
contiguous,legacy,M0,6-10,662,0.07481916817359856,1,658,3
contiguous,legacy,M0,11-20,68,0.0076853526220614825,0,68,0
contiguous,legacy,M0,>20,2,0.0002260397830018083,0,2,0
contiguous,legacy,M1,0,2138,0.2416365280289331,0,2137,1
contiguous,legacy,M1,1,1857,0.20987793851717904,22,1821,14
contiguous,legacy,M1,2,1490,0.1683996383363472,34,1448,8
contiguous,legacy,M1,3,1096,0.12386980108499096,21,1066,9
contiguous,legacy,M1,4,808,0.09132007233273057,14,787,7
contiguous,legacy,M1,5,523,0.059109403254972874,8,512,3
contiguous,legacy,M1,6-10,816,0.0922242314647378,15,796,5
contiguous,legacy,M1,11-20,117,0.013223327305605787,0,116,1
contiguous,legacy,M1,>20,3,0.0003390596745027125,0,2,1
