episode_variant,capture_kind,scope,metric,m0,m1,diff_or_value,ci_low,ci_high,n_m0,n_m1,direction
lineage,primary,slot,pooled_capture_hazard,0.012614307023801802,0.02336800423858788,0.010753697214786077,0.008611148592444448,0.012832629001852561,nan,nan,UP
lineage,primary,slot,pooled_gap_stop_hazard,0.15966867387809597,0.13240772096173384,-0.02726095291636213,-0.03325966924569212,-0.021599746804813993,nan,nan,DOWN
lineage,primary,slot,pooled_inepisode_stop_hazard,0.08418185355729943,0.07052229441454505,-0.01365955914275438,-0.01716539089320253,-0.010171373575591048,nan,nan,DOWN
lineage,primary,slot,cif_capture_final,0.043986085842007694,0.09482247135591641,0.05083638551390872,0.04231843090408436,0.05919895203668203,nan,nan,UP
lineage,primary,slot,cif_stop_final,0.9560139141579925,0.905177528644083,-0.050836385513909566,-0.05919895203668223,-0.0423184309040841,nan,nan,DOWN
lineage,primary,slot,propensity_component,nan,nan,0.03657560238945081,0.028900012513616312,0.04401646578584676,nan,nan,UP
lineage,primary,slot,exposure_component,nan,nan,0.014260782221649386,0.011678357511536494,0.017159383844755547,nan,nan,UP
lineage,primary,slot,decomposition_total,nan,nan,0.0508363846111002,0.0423184308254136,0.059198950828529474,nan,nan,UP
lineage,primary,slot,identity_error,nan,nan,0.0,-6.938893903907228e-18,6.938893903907228e-18,nan,nan,UNRESOLVED
lineage,primary,slot,raw_cif_diff,nan,nan,0.05083638551390872,0.04231843090408436,0.05919895203668203,nan,nan,UP
lineage,primary,slot,hazard_k1,0.012954966070326958,0.013263785394932935,0.0003088193246059776,-0.0034206479228510948,0.004234770451707444,nan,nan,UNRESOLVED
lineage,primary,slot,hazard_k2,0.010828821324448146,0.020080321285140562,0.009251499960692416,0.004332102624408883,0.014179155484030901,nan,nan,UP
lineage,primary,slot,hazard_k3,0.011272141706924315,0.02923556194584232,0.017963420238918004,0.011885546857491412,0.024320635592318635,nan,nan,UP
lineage,primary,slot,hazard_k4,0.015750670241286863,0.023276370064820272,0.007525699823533408,0.0009397394116563357,0.01425602461671828,nan,nan,UP
lineage,primary,slot,hazard_k5,0.014279714405711887,0.028551034975017844,0.014271320569305957,0.0061082791682188714,0.022318341968881803,nan,nan,UP
lineage,primary,slot,hazard_k6,0.015756302521008403,0.0386117136659436,0.022855411144935195,0.01378734288322784,0.03271979985458657,nan,nan,UP
lineage,primary,slot,hazard_k7,0.011597938144329897,0.028101802757158005,0.016503864612828108,0.007746231626261531,0.025398241973077097,nan,nan,UP
lineage,primary,slot,hazard_k8,0.019002375296912115,0.03088803088803089,0.011885655591118774,2.7248195871337718e-05,0.023400409562470866,nan,nan,UP
lineage,primary,slot,hazard_k9plus_pooled,0.010101010101010102,0.022156762295081966,0.012055752194071864,0.007417584215730808,0.01676837180773684,nan,nan,UP
lineage,primary,slot,cif_capture_at_k1,0.00949659922379528,0.010060269415166696,0.0005636701913714157,-0.0022580807976770516,0.0035025604187295,nan,nan,UNRESOLVED
lineage,primary,slot,cif_capture_at_k2,0.015375446362335217,0.021938205846186803,0.006562759483851587,0.002611519241368986,0.010637261204962296,nan,nan,UP
lineage,primary,slot,cif_capture_at_k3,0.02012374597423286,0.03573923674699112,0.015615490772758263,0.010868797904782195,0.02036516974463443,nan,nan,UP
lineage,primary,slot,cif_capture_at_k5,0.029282795329615707,0.053725826199678715,0.02444303087006301,0.018577319663387097,0.030484858186846965,nan,nan,UP
lineage,primary,slot,cif_capture_at_k8,0.03742615622878665,0.07522855966889533,0.03780240344010868,0.030847220035511283,0.044805058343060145,nan,nan,UP
lineage,primary,response,capture_rate,0.04396473779385172,0.09471066907775769,0.05074593128390597,0.04226943942133815,0.05910940325497287,8848,8848,UP
lineage,primary,response,stop_rate,0.9556962025316456,0.904498191681736,-0.0511980108499096,-0.05967450271247743,-0.04271869349005419,8848,8848,DOWN
lineage,primary,response,censor_rate,0.0003390596745027125,0.0007911392405063291,0.0004520795660036166,-0.0003390596745027124,0.0012432188065099458,8848,8848,UNRESOLVED
