episode_variant,capture_kind,component,value,ci_low,ci_high,share_of_total,direction
lineage,primary,propensity_component,0.03339092479707588,0.0253704186017755,0.0414614450099667,0.7952327734428365,UP
lineage,primary,exposure_component,0.008597944263884813,0.006021751407127169,0.011328987811477589,0.20476722655716353,UP
lineage,primary,decomposition_total,0.04198886906096069,0.03349679266226314,0.05050847334243264,1.0,UP
lineage,primary,raw_cif_diff,0.0419878651683659,0.03349316261038676,0.05050289851511123,0.9999760914590641,UP
lineage,primary,identity_error,0.0,-6.938893903907228e-18,6.938893903907228e-18,0.0,UNRESOLVED
lineage,legacy,propensity_component,0.0068627930610959745,0.003626778681985756,0.01014047042865281,0.8963546685736351,UP
lineage,legacy,exposure_component,0.0007935435450564807,0.0005015505488441712,0.0011311775946569414,0.10364533142636485,UP
lineage,legacy,decomposition_total,0.007656336606152455,0.004430882029118391,0.01098792318159137,1.0,UP
lineage,legacy,raw_cif_diff,0.0076563366061524534,0.004430882029118391,0.010987923181591367,0.9999999999999998,UP
lineage,legacy,identity_error,0.0,-1.734723475976807e-18,1.734723475976807e-18,0.0,UNRESOLVED
contiguous,primary,propensity_component,0.03307673428715818,0.02489448852673367,0.04092310131663002,0.7876525656007579,UP
contiguous,primary,exposure_component,0.00891733229971304,0.006662750168401131,0.011218915520241741,0.21234743439924206,UP
contiguous,primary,decomposition_total,0.04199406658687122,0.03351876743076447,0.050131424551861835,1.0,UP
contiguous,primary,raw_cif_diff,0.04204123959436986,0.033544864543464184,0.050138484545276606,1.0011233255393606,UP
contiguous,primary,identity_error,0.0,-6.938893903907228e-18,6.938893903907228e-18,0.0,UNRESOLVED
contiguous,legacy,propensity_component,0.006821340423153551,0.003672911239568534,0.010100070596341224,0.8874906947492326,UP
contiguous,legacy,exposure_component,0.0008647575421676218,0.0005340004928667797,0.0012293831604587402,0.11250930525076737,UP
contiguous,legacy,decomposition_total,0.007686097965321173,0.004450631035790588,0.011076556605747401,1.0,UP
contiguous,legacy,raw_cif_diff,0.007686097965321173,0.004450631035790587,0.011076556605747405,1.0,UP
contiguous,legacy,identity_error,0.0,-1.734723475976807e-18,1.734723475976807e-18,0.0,UNRESOLVED
