episode_variant,capture_kind,model,episodes_experienced_bin,n_responses,share_of_model,captured,normal_stop,hit_max_censored
lineage,primary,M0,0,6241,0.7053571428571429,0,6241,0
lineage,primary,M0,1,1317,0.14884719710669078,55,1261,1
lineage,primary,M0,2,548,0.06193490054249548,26,522,0
lineage,primary,M0,3,314,0.035488245931283906,17,297,0
lineage,primary,M0,4,186,0.021021699819168172,8,178,0
lineage,primary,M0,5,111,0.012545207956600362,5,106,0
lineage,primary,M0,6-10,109,0.012319168173598554,3,106,0
lineage,primary,M0,11-20,21,0.0023734177215189874,0,21,0
lineage,primary,M0,>20,1,0.00011301989150090416,0,1,0
lineage,primary,M1,0,2434,0.2750904159132007,0,2427,7
lineage,primary,M1,1,1562,0.1765370705244123,79,1482,1
lineage,primary,M1,2,954,0.10782097649186256,54,900,0
lineage,primary,M1,3,788,0.08905967450271247,67,721,0
lineage,primary,M1,4,580,0.06555153707052441,46,534,0
lineage,primary,M1,5,459,0.05187613019891501,41,418,0
lineage,primary,M1,6-10,1262,0.14263110307414104,124,1138,0
lineage,primary,M1,11-20,693,0.07832278481012658,71,622,0
lineage,primary,M1,>20,116,0.013110307414104882,6,110,0
lineage,legacy,M0,0,6241,0.7053571428571429,0,6241,0
lineage,legacy,M0,1,1314,0.14850813743218808,0,1313,1
lineage,legacy,M0,2,547,0.06182188065099457,1,546,0
lineage,legacy,M0,3,316,0.03571428571428571,1,315,0
lineage,legacy,M0,4,186,0.021021699819168172,0,186,0
lineage,legacy,M0,5,110,0.012432188065099457,0,110,0
lineage,legacy,M0,6-10,110,0.012432188065099457,0,110,0
lineage,legacy,M0,11-20,23,0.0025994575045207957,0,23,0
lineage,legacy,M0,>20,1,0.00011301989150090416,0,1,0
lineage,legacy,M1,0,2434,0.2750904159132007,0,2427,7
lineage,legacy,M1,1,1553,0.17551989150090416,10,1533,10
lineage,legacy,M1,2,955,0.10793399638336347,9,943,3
lineage,legacy,M1,3,785,0.08872061482820977,13,767,5
lineage,legacy,M1,4,575,0.06498643761301989,3,571,1
lineage,legacy,M1,5,458,0.0517631103074141,3,452,3
lineage,legacy,M1,6-10,1252,0.141500904159132,12,1228,12
lineage,legacy,M1,11-20,702,0.07933996383363472,2,694,6
lineage,legacy,M1,>20,134,0.015144665461121157,0,129,5
contiguous,primary,M0,0,6241,0.7053571428571429,0,6241,0
contiguous,primary,M0,1,1672,0.18896925858951175,69,1602,1
contiguous,primary,M0,2,603,0.06815099457504521,32,571,0
contiguous,primary,M0,3,235,0.026559674502712478,9,226,0
contiguous,primary,M0,4,62,0.007007233273056058,2,60,0
contiguous,primary,M0,5,20,0.0022603978300180833,1,19,0
contiguous,primary,M0,6-10,15,0.0016952983725135623,1,14,0
contiguous,primary,M0,11-20,0,0.0,0,0,0
contiguous,primary,M0,>20,0,0.0,0,0,0
contiguous,primary,M1,0,2434,0.2750904159132007,0,2427,7
contiguous,primary,M1,1,1970,0.2226491862567812,126,1843,1
contiguous,primary,M1,2,1401,0.15834086799276673,119,1282,0
contiguous,primary,M1,3,1035,0.1169755877034358,101,934,0
contiguous,primary,M1,4,719,0.08126130198915009,48,671,0
contiguous,primary,M1,5,454,0.05131103074141049,36,418,0
contiguous,primary,M1,6-10,767,0.08668625678119349,56,711,0
contiguous,primary,M1,11-20,68,0.0076853526220614825,2,66,0
contiguous,primary,M1,>20,0,0.0,0,0,0
contiguous,legacy,M0,0,6241,0.7053571428571429,0,6241,0
contiguous,legacy,M0,1,1669,0.18863019891500904,2,1666,1
contiguous,legacy,M0,2,604,0.06826401446654612,0,604,0
contiguous,legacy,M0,3,236,0.02667269439421338,0,236,0
contiguous,legacy,M0,4,62,0.007007233273056058,0,62,0
contiguous,legacy,M0,5,20,0.0022603978300180833,0,20,0
contiguous,legacy,M0,6-10,15,0.0016952983725135623,0,15,0
contiguous,legacy,M0,11-20,1,0.00011301989150090416,0,1,0
contiguous,legacy,M0,>20,0,0.0,0,0,0
contiguous,legacy,M1,0,2434,0.2750904159132007,0,2427,7
contiguous,legacy,M1,1,1962,0.22174502712477395,14,1932,16
contiguous,legacy,M1,2,1402,0.15845388788426762,16,1373,13
contiguous,legacy,M1,3,1039,0.11742766726943941,11,1019,9
contiguous,legacy,M1,4,720,0.081374321880651,3,713,4
contiguous,legacy,M1,5,454,0.05131103074141049,3,449,2
contiguous,legacy,M1,6-10,769,0.0869122965641953,4,764,1
contiguous,legacy,M1,11-20,68,0.0076853526220614825,1,67,0
contiguous,legacy,M1,>20,0,0.0,0,0,0
