episode_variant,capture_kind,model,episode_ordinal,gap_at_risk,gap_stop_events,gap_censored,gap_stop_hazard,episodes_started,capture_events,inepisode_stop_events,inepisode_censored,capture_hazard_given_episode,capture_cif_after_episode,stop_cif_after_episode,event_free_survival
lineage,primary,M0,1,8848,6241,0,0.7053571428571429,2607,55,531,0,0.02109704641350211,0.006216094032549728,0.765370705244123,0.22841320072332727
lineage,primary,M0,2,2021,730,1,0.3612073231073726,1290,26,321,0,0.020155038759689922,0.009156889131867053,0.88418273476597,0.10666037610216297
lineage,primary,M0,3,943,201,0,0.21314952279957583,742,17,227,0,0.022911051212938006,0.011079716696805304,0.9325927464008859,0.05632753690230876
lineage,primary,M0,4,498,70,0,0.14056224899598393,428,8,143,0,0.018691588785046728,0.011984576727364481,0.9566846447145239,0.0313307785581115
lineage,primary,M0,5,277,35,0,0.1263537906137184,242,5,94,0,0.02066115702479339,0.012550114246463967,0.9712755127072906,0.016174373046245288
lineage,primary,M0,6,143,12,0,0.08391608391608392,131,1,35,0,0.007633587786259542,0.012663221750283863,0.9765915653868258,0.010745212862890225
lineage,primary,M0,7,95,9,0,0.09473684210526316,86,0,30,0,0.0,0.012663221750283863,0.9810027580358018,0.006334020213914239
lineage,primary,M0,8,56,3,0,0.05357142857142857,53,1,13,0,0.018867924528301886,0.01277632925410376,0.9828124780969202,0.004411192648975988
lineage,primary,M0,9,39,3,0,0.07692307692307693,36,0,8,0,0.0,0.01277632925410376,0.9840566606389392,0.00316701010695712
lineage,primary,M0,10,28,0,0,0.0,28,1,3,0,0.03571428571428571,0.012889436757923657,0.9843959831503989,0.0027145800916775313
lineage,primary,M0,11,24,2,0,0.08333333333333333,22,0,6,0,0.0,0.012889436757923657,0.985300843180958,0.0018097200611183542
lineage,primary,M0,12,16,0,0,0.0,16,0,2,0,0.0,0.012889436757923657,0.9855270581885978,0.00158350505347856
lineage,primary,M0,13,14,0,0,0.0,14,0,4,0,0.0,0.012889436757923657,0.9859794882038774,0.0011310750381989714
lineage,primary,M0,14,10,0,0,0.0,10,0,2,0,0.0,0.012889436757923657,0.9862057032115171,0.0009048600305591771
lineage,primary,M0,15,8,0,0,0.0,8,0,3,0,0.0,0.012889436757923657,0.9865450257229769,0.0005655375190994857
lineage,primary,M0,16,5,0,0,0.0,5,0,0,0,0.0,0.012889436757923657,0.9865450257229769,0.0005655375190994857
lineage,primary,M0,17,5,0,0,0.0,5,0,1,0,0.0,0.012889436757923657,0.9866581332267967,0.00045243001527958855
lineage,primary,M0,18,4,0,0,0.0,4,0,1,0,0.0,0.012889436757923657,0.9867712407306166,0.0003393225114596914
lineage,primary,M0,19,3,0,0,0.0,3,0,2,0,0.0,0.012889436757923657,0.9869974557382564,0.00011310750381989715
lineage,primary,M0,20,1,0,0,0.0,1,0,0,0,0.0,0.012889436757923657,0.9869974557382564,0.00011310750381989715
lineage,primary,M0,21,1,0,0,0.0,1,0,0,0,0.0,0.012889436757923657,0.9869974557382564,0.00011310750381989715
lineage,primary,M0,22,1,0,0,0.0,1,0,0,0,0.0,0.012889436757923657,0.9869974557382564,0.00011310750381989715
lineage,primary,M0,23,1,0,0,0.0,1,0,0,0,0.0,0.012889436757923657,0.9869974557382564,0.00011310750381989715
lineage,primary,M0,24,1,0,0,0.0,1,0,0,0,0.0,0.012889436757923657,0.9869974557382564,0.00011310750381989715
lineage,primary,M0,25,1,0,0,0.0,1,0,1,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,26,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,27,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,28,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,29,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,30,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,31,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,32,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,33,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,34,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,35,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,36,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,37,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,38,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,39,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,40,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M0,41,0,0,0,0.0,0,0,0,0,0.0,0.012889436757923657,0.9871105632420762,0.0
lineage,primary,M1,1,8848,2427,7,0.2742992766726944,6414,79,264,0,0.012316806984720922,0.008938315737894784,0.3041690912904694,0.6868925929716359
lineage,primary,M1,2,6071,1218,1,0.2006259265359908,4852,54,251,0,0.011129431162407255,0.01504930976594581,0.4703823597609428,0.5145683304731113
lineage,primary,M1,3,4547,649,0,0.14273147129975808,3898,67,277,0,0.01718830169317599,0.022631469022972084,0.5751745906864104,0.4021939402906175
lineage,primary,M1,4,3554,444,0,0.12492965672481711,3110,46,229,0,0.014790996784565916,0.027837130602422957,0.6513356829248982,0.3208271864726788
lineage,primary,M1,5,2835,305,0,0.10758377425044091,2530,41,202,0,0.016205533596837945,0.03247695940149874,0.7087111268549328,0.25881191374356843
lineage,primary,M1,6,2287,216,0,0.0944468736335811,2071,34,190,0,0.016417189763399325,0.036324622308049385,0.7546567486213904,0.2090186290705601
lineage,primary,M1,7,1847,125,0,0.0676773145641581,1722,34,184,0,0.019744483159117306,0.040172285214600034,0.7896252144485713,0.17020250033682857
lineage,primary,M1,8,1504,126,0,0.08377659574468085,1378,21,138,0,0.015239477503628448,0.04254878289217543,0.8195011852523763,0.13795003185544816
lineage,primary,M1,9,1219,68,0,0.05578342904019688,1151,16,120,0,0.013900955690703735,0.044359447789375735,0.8407764977944798,0.11486405441614429
lineage,primary,M1,10,1015,50,0,0.04926108374384237,965,19,105,0,0.019689119170984457,0.0465096123548011,0.8583173139861078,0.09517307365909099
lineage,primary,M1,11,841,32,0,0.03804994054696789,809,11,82,0,0.013597033374536464,0.04775444447162631,0.87121830137866,0.08102725414971361
lineage,primary,M1,12,716,40,0,0.055865921787709494,676,20,71,0,0.029585798816568046,0.05001777559312669,0.8837797891029872,0.06620243530388613
lineage,primary,M1,13,585,28,0,0.04786324786324787,557,10,60,0,0.017953321364452424,0.05114944115387688,0.8937384460375888,0.05511211280853426
lineage,primary,M1,14,487,22,0,0.045174537987679675,465,2,46,0,0.004301075268817204,0.05137577426602692,0.9014337718506901,0.047190453883282926
lineage,primary,M1,15,417,12,0,0.02877697841726619,405,5,61,0,0.012345679012345678,0.051941607046402015,0.9096949304441664,0.03836346250943144
lineage,primary,M1,16,339,17,0,0.05014749262536873,322,4,46,0,0.012422360248447204,0.05239427327070209,0.9168244234768926,0.030781303252405166
lineage,primary,M1,17,272,6,0,0.022058823529411766,266,5,42,0,0.018796992481203006,0.052960106051077184,0.9222564181684936,0.02478347578042916
lineage,primary,M1,18,219,10,0,0.045662100456621,209,7,26,0,0.03349282296650718,0.05375227194360232,0.9263304141871942,0.019917313869203344
lineage,primary,M1,19,176,8,0,0.045454545454545456,168,1,17,0,0.005952380952380952,0.053865438499677336,0.9291595780890697,0.01697498341125285
lineage,primary,M1,20,150,6,0,0.04,144,6,18,0,0.041666666666666664,0.05454443783612745,0.9318755754348701,0.013579986729002281
lineage,primary,M1,21,120,4,0,0.03333333333333333,116,2,18,0,0.017241379310344827,0.054770770948277495,0.9343652396685205,0.010863989383201825
lineage,primary,M1,22,96,6,0,0.0625,90,1,19,0,0.011111111111111112,0.05488393750435251,0.937194403570396,0.007921658925251332
