episode_variant,capture_kind,component,value,ci_low,ci_high,share_of_total,direction
lineage,primary,propensity_component,-0.007469587779667611,-0.019063151396523915,0.0035713855075331547,-0.1765441800801923,UNRESOLVED
lineage,primary,exposure_component,0.049779607720708274,0.041022194521773185,0.060036348319993535,1.1765441800801923,UP
lineage,primary,decomposition_total,0.042310019941040666,0.03438349990607269,0.050514467902402896,1.0,UP
lineage,primary,raw_cif_diff,0.04233400041465391,0.034402722065543206,0.05053424439086488,1.000566780012079,UP
lineage,primary,identity_error,0.0,-6.938893903907228e-18,6.938893903907228e-18,0.0,UNRESOLVED
lineage,legacy,propensity_component,0.0027707985721612074,0.0008512886448602572,0.00439250661437192,0.48769186475300447,UP
lineage,legacy,exposure_component,0.0029106547642902855,0.0018192381332111883,0.004260997428668717,0.5123081352469956,UP
lineage,legacy,decomposition_total,0.005681453336451493,0.003747003278701626,0.007831948528471211,1.0,UP
lineage,legacy,raw_cif_diff,0.005679250947713311,0.0037468715884387445,0.00782745706868064,0.9996123546902952,UP
lineage,legacy,identity_error,0.0,-8.673617379884035e-19,8.673617379884035e-19,0.0,UNRESOLVED
contiguous,primary,propensity_component,-0.010692272501311,-0.024302214528874,0.002897579174254546,-0.252656297630815,UNRESOLVED
contiguous,primary,exposure_component,0.05301171041587549,0.041435118869550806,0.06467790432663878,1.252656297630815,UP
contiguous,primary,decomposition_total,0.04231943791456449,0.03441189649129837,0.05041231732375255,1.0,UP
contiguous,primary,raw_cif_diff,0.0423334090951993,0.03442108709719965,0.050431768033070215,1.0003301362523533,UP
contiguous,primary,identity_error,0.0,-6.938893903907228e-18,6.938893903907228e-18,0.0,UNRESOLVED
contiguous,legacy,propensity_component,0.0030159733612185233,0.0014824869853890753,0.00446509338742106,0.5305032968332367,UP
contiguous,legacy,exposure_component,0.0026691437327221617,0.001771372094479875,0.0036138454568420786,0.4694967031667633,UP
contiguous,legacy,decomposition_total,0.005685117093940685,0.0037477230247208873,0.007838340718371785,1.0,UP
contiguous,legacy,raw_cif_diff,0.0056863459658223325,0.0037483168120093086,0.007840251512637087,1.0002161559491813,UP
contiguous,legacy,identity_error,0.0,-8.673617379884035e-19,8.673617379884035e-19,0.0,UNRESOLVED
