sample_id,stable_prompt_id,model_tag,seed,kind,seed_ordinal,prior_reuse_events,progress,after_1g,after_1_25g,after_last_new_relaxed,relaxed_coverage,relaxed_fraction_of_final
M0:2:2,2,M0,2,primary_semantic_capture,8,7,0.7311827956989247,False,False,True,0.15053763440860216,1.0
M0:14:1,14,M0,1,primary_semantic_capture,6,5,0.8518518518518519,False,False,True,0.2222222222222222,1.0
M0:14:3,14,M0,3,primary_semantic_capture,6,5,0.6419753086419753,False,False,True,0.1728395061728395,1.0
M0:14:4,14,M0,4,primary_semantic_capture,8,7,0.7160493827160493,False,False,True,0.08641975308641975,1.0
M0:14:5,14,M0,5,primary_semantic_capture,12,11,0.9753086419753086,False,False,True,0.25925925925925924,1.0
M0:14:5,14,M0,5,legacy_aligned_capture,12,11,0.9753086419753086,False,False,True,0.25925925925925924,1.0
M0:14:7,14,M0,7,primary_semantic_capture,4,3,0.9259259259259259,False,False,True,0.16049382716049382,1.0
M0:16:0,16,M0,0,primary_semantic_capture,8,7,1.0769230769230769,True,False,True,0.16666666666666666,1.0
M0:16:1,16,M0,1,primary_semantic_capture,43,42,2.2051282051282053,True,True,True,0.19230769230769232,1.0
M0:16:4,16,M0,4,primary_semantic_capture,6,5,0.9871794871794872,False,False,True,0.16666666666666666,1.0
M0:16:4,16,M0,4,legacy_aligned_capture,6,5,0.9871794871794872,False,False,True,0.16666666666666666,1.0
M0:16:5,16,M0,5,primary_semantic_capture,8,7,1.3717948717948718,True,True,True,0.21794871794871795,1.0
M0:16:5,16,M0,5,legacy_aligned_capture,8,7,1.3717948717948718,True,True,True,0.21794871794871795,1.0
M0:17:4,17,M0,4,primary_semantic_capture,29,28,2.5714285714285716,True,True,True,0.11428571428571428,1.0
M0:20:0,20,M0,0,primary_semantic_capture,2,1,0.5777777777777777,False,False,True,0.2222222222222222,1.0
M0:20:2,20,M0,2,primary_semantic_capture,1,0,0.9111111111111111,False,False,True,0.17777777777777778,1.0
M0:20:3,20,M0,3,primary_semantic_capture,16,15,1.211111111111111,True,False,True,0.2,1.0
M0:20:4,20,M0,4,primary_semantic_capture,4,3,1.3555555555555556,True,True,True,0.2111111111111111,1.0
M0:20:6,20,M0,6,primary_semantic_capture,3,2,1.2333333333333334,True,False,True,0.2,1.0
M0:20:7,20,M0,7,primary_semantic_capture,29,28,1.3111111111111111,True,True,True,0.2,1.0
M0:22:5,22,M0,5,primary_semantic_capture,16,15,1.1833333333333333,True,False,True,0.3,1.0
M0:28:6,28,M0,6,primary_semantic_capture,24,23,1.694915254237288,True,True,True,0.288135593220339,1.0
M0:29:1,29,M0,1,primary_semantic_capture,10,9,0.5833333333333334,False,False,True,0.20833333333333334,1.0
M0:30:1,30,M0,1,primary_semantic_capture,8,7,1.2340425531914894,True,False,True,0.3829787234042553,1.0
M0:30:5,30,M0,5,primary_semantic_capture,4,3,1.7234042553191489,True,True,True,0.3191489361702128,1.0
M0:31:2,31,M0,2,primary_semantic_capture,2,1,0.6511627906976745,False,False,True,0.05813953488372093,1.0
M0:31:4,31,M0,4,primary_semantic_capture,9,8,1.0232558139534884,True,False,True,0.09302325581395349,1.0
M0:31:7,31,M0,7,primary_semantic_capture,7,6,0.8604651162790697,False,False,True,0.08139534883720931,1.0
M0:34:7,34,M0,7,primary_semantic_capture,4,3,0.6699029126213593,False,False,True,0.30097087378640774,1.0
M0:35:4,35,M0,4,primary_semantic_capture,13,12,0.8135593220338984,False,False,True,0.13559322033898305,1.0
M0:35:6,35,M0,6,primary_semantic_capture,2,1,0.5423728813559322,False,False,True,0.1694915254237288,1.0
M0:35:6,35,M0,6,legacy_aligned_capture,3,2,0.559322033898305,False,False,True,0.1694915254237288,1.0
M0:48:0,48,M0,0,primary_semantic_capture,9,8,0.5875,False,False,True,0.0375,1.0
M0:48:3,48,M0,3,primary_semantic_capture,6,5,1.525,True,True,True,0.1125,1.0
M0:48:4,48,M0,4,primary_semantic_capture,17,16,2.6125,True,True,True,0.125,1.0
M0:48:7,48,M0,7,primary_semantic_capture,7,6,1.475,True,True,True,0.1375,1.0
