model,progress_range,progress_left,progress_right,invalid_complete_object_candidates,all_invalid_complete_object_candidates,share_within_model,n_responses
M0,<0.50G,0.0,0.5,154,241,0.6390041493775933,8848
M0,0.50-0.75G,0.5,0.75,82,241,0.34024896265560167,8848
M0,0.75-1.00G,0.75,1.0,0,241,0.0,8848
M0,1.00-1.25G,1.0,1.25,2,241,0.008298755186721992,8848
M0,1.25-1.50G,1.25,1.5,0,241,0.0,8848
M0,>=1.50G,1.5,inf,3,241,0.012448132780082987,8848
M1,<0.50G,0.0,0.5,7,579,0.012089810017271158,8848
M1,0.50-0.75G,0.5,0.75,296,579,0.5112262521588946,8848
M1,0.75-1.00G,0.75,1.0,2,579,0.0034542314335060447,8848
M1,1.00-1.25G,1.0,1.25,240,579,0.41450777202072536,8848
M1,1.25-1.50G,1.25,1.5,2,579,0.0034542314335060447,8848
M1,>=1.50G,1.5,inf,32,579,0.055267702936096716,8848
