metric,m0,m1,diff_m1_minus_m0,ci_low,ci_high,m0_ci_low,m0_ci_high,m1_ci_low,m1_ci_high,n_m0,n_m1,direction
output_gold_ratio,1.7771747710581918,4.291788782158727,2.5146140111005346,2.3436405213689477,2.6954302070589957,1.7084146556611626,1.8544449477470637,4.087567655864509,4.506357855811669,8848,8848,UP
final_strict_coverage,0.11321148982675286,0.11316901687026847,-4.247295648439342e-05,-0.0020785135701619326,0.0020926507459141726,0.10750013452083185,0.11932839183502107,0.10739418805350867,0.11916294610587277,8848,8848,UNRESOLVED
final_relaxed_coverage,0.4071451155752304,0.4013773991607261,-0.005767716414504298,-0.009908292719706549,-0.0017445676751085878,0.39715599450719574,0.4173575331107608,0.3912468578952098,0.41174768919220134,8848,8848,DOWN
strict_coverage_at_1g,0.0977411563965918,0.09278075242551746,-0.004960403971074334,-0.006902257616747718,-0.0029487580184150352,0.09270862414458361,0.10299837083503312,0.0878921361009247,0.09790468859132774,8848,8848,DOWN
relaxed_coverage_at_1g,0.3524328519487485,0.33009438835448035,-0.022338463594268165,-0.026157527624702713,-0.018549947339189715,0.3436502865847925,0.3613404055133145,0.32128929709403103,0.3389585449167305,8848,8848,DOWN
post_1g_strict_coverage_gain,0.015470333430161198,0.02038826444475104,0.004917931014589844,0.0038277666377778165,0.0060605859958367155,0.014076334322237032,0.01694094045345843,0.018857850585488372,0.022002505158529504,8848,8848,UP
post_1g_relaxed_coverage_gain,0.054712263626481746,0.07128301080624601,0.016570747179764263,0.013932231258313986,0.019291982787979292,0.05129005636866069,0.0582520832543214,0.06731036044095948,0.07537989663063131,8848,8848,UP
seed_rate,0.6665913200723327,0.8458408679927667,0.17924954792043402,0.16591320072332727,0.19269891500904157,0.6480560578661845,0.6852396021699819,0.8320524412296564,0.8594032549728752,8848,8848,UP
seed_progress,1.069149268027394,1.276680582679815,0.20753131465242114,0.17981314443685276,0.2367851621268668,1.04144741969717,1.0982172508408892,1.2376799125882751,1.31920305973327,5898,7484,UP
seed_strict_coverage,0.0888093753741129,0.08994243755049579,0.0011330621763828846,-0.001631209249478355,0.0039048502596096195,0.08398240918513357,0.09406069284112502,0.08513096942650196,0.0947911686462776,5898,7484,UNRESOLVED
seed_relaxed_coverage,0.33386039709840104,0.33316602458730854,-0.0006943725110925003,-0.005901313720775269,0.00436125606209106,0.32422565817976456,0.34362942638153904,0.32416485461162264,0.34251293041602515,5898,7484,UNRESOLVED
seed_strict_fraction_of_final,0.8658690561206646,0.8528989358744703,-0.012970120246194261,-0.022294095709344635,-0.00350271552716391,0.8577436027101234,0.8737447905760369,0.8448934413225249,0.8605567561848938,5058,6359,DOWN
seed_relaxed_fraction_of_final,0.87840757813902,0.8743584325392699,-0.004049145599750115,-0.010269263974504695,0.002027625495681674,0.87281262707209,0.883725707643287,0.8687902307180798,0.8797976444412003,5872,7427,UNRESOLVED
no_new_relaxed_after_seed_rate,0.46354696507290605,0.48062533404596475,0.0170783689730587,-0.0007815606605427266,0.0343730622385273,0.4464247936209404,0.48041517585336313,0.4644966739316813,0.4976316598615745,5898,7484,UNRESOLVED
seed_after_last_new_relaxed_rate,0.4611716621253406,0.4766392890803824,0.01546762695504178,-0.0023022794413604915,0.033070411609980616,0.44417971409121854,0.4778424243534645,0.4605442579349914,0.4931860349439122,5872,7427,UNRESOLVED
seed_ge_1g_rate,0.47846727704306546,0.5783003741314805,0.09983309708841503,0.08454012177957519,0.11572269921000636,0.45594609047024237,0.5004387779001559,0.5587172278634875,0.5978923331482494,5898,7484,UP
seed_ge_1_25g_rate,0.26839606646320785,0.3945750935328701,0.12617902706966228,0.110487092417751,0.14185433326386507,0.2494021704217933,0.28830179538834744,0.37513341044483123,0.41486621997624856,5898,7484,UP
semantic_capture_rate,0.07131555153707052,0.3178119349005425,0.24649638336347196,0.2308996383363472,0.26220614828209765,0.0626130198915009,0.08035714285714286,0.29938686708860757,0.336689082278481,8848,8848,UP
capture_later_than_first_rate,0.8684627575277337,0.9068278805120911,0.03836512298435735,0.010269392495545671,0.06827902368984635,0.8403904971632182,0.8944114984862199,0.8951206748295882,0.9183397150942056,631,2812,UP
capture_seed_ordinal_mean,11.003169572107765,14.349573257467995,3.3464036853602295,2.049269175978673,4.585256849378836,9.869574063454046,12.255284614250977,13.571622588560379,15.121444504977676,631,2812,UP
capture_progress,1.2839652948864186,1.8831988445900223,0.5992335497036037,0.5216506542547685,0.6793790057721815,1.2218838749831054,1.3536442863555394,1.8100222108809902,1.9665561564639076,631,2812,UP
capture_relaxed_coverage,0.23731036154840332,0.2834069946336922,0.04609663308528886,0.032488516488384696,0.060427478686796515,0.2218474974570648,0.25319679311301596,0.2725192516387085,0.2945308579072858,631,2812,UP
capture_relaxed_fraction_of_final,0.9974608655955833,0.9948852932451763,-0.0025755723504070627,-0.004994466120497226,-5.464370779251552e-05,0.9952765435447533,0.999193721084872,0.9930600354519107,0.9965379968126058,626,2775,DOWN
no_new_relaxed_after_capture_rate,0.9857369255150554,0.9839971550497866,-0.0017397704652688528,-0.011093894604021945,0.008288208964111173,0.9759228966119343,0.9939577039274925,0.9792836217116145,0.9885693247269572,631,2812,UNRESOLVED
capture_after_last_new_relaxed_rate,0.9856230031948882,0.9837837837837838,-0.0018392194111043203,-0.011318787971777267,0.00823868106354563,0.9757006316363471,0.9938933625023273,0.9789821070662623,0.9883936745026959,626,2775,UNRESOLVED
capture_seed_ge_1g_rate,0.6434231378763867,0.8694879089615932,0.2260647710852065,0.18238116298839402,0.2713680740124701,0.595356188489865,0.6923076923076923,0.8511776377666308,0.8879090977662014,631,2812,UP
stable_orbit_rate,0.005085895117540687,0.06204792043399638,0.056962025316455694,0.050971971066907776,0.06317811934900543,0.003503616636528029,0.006781193490054249,0.05594484629294756,0.06849005424954792,8848,8848,UP
legacy_capture_later_than_first_rate,0.9111111111111111,0.9077490774907749,-0.003362033620336158,-0.08287350260796367,0.09322502214500783,0.8181818181818182,0.9795918367346939,0.8835868161871568,0.9310999175748695,45,542,UNRESOLVED
legacy_capture_seed_ordinal_mean,5.866666666666666,8.892988929889299,3.0263222632226325,1.433836757444538,4.511172815263832,4.699941860465117,7.183686895810956,7.985749521552048,9.90286674335533,45,542,UP
legacy_capture_seed_ge_1g_rate,0.4666666666666667,0.8413284132841329,0.3746617466174662,0.23830741816622208,0.5156693211012483,0.32724308300395255,0.6046511627906976,0.8067794922006888,0.87569573283859,45,542,UP
legacy_capture_after_last_new_relaxed_rate,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,43,532,UNRESOLVED
frozen_seed_equals_normalized_first_rate,0.9998304797423292,1.0,0.0001695202576708077,0.0,0.0005162644826669976,0.999483735517333,1.0,1.0,1.0,5899,7484,UNRESOLVED
