episode_variant,capture_kind,component,value,ci_low,ci_high,share_of_total,direction
lineage,primary,propensity_component,0.11237962778125123,0.10009911953669377,0.1250512766612666,0.45376326528318806,UP
lineage,primary,exposure_component,0.1352817330631893,0.12502024750077909,0.14548971860656226,0.546236734716812,UP
lineage,primary,decomposition_total,0.24766136084444051,0.2318845302487414,0.26371811952001883,1.0,UP
lineage,primary,raw_cif_diff,0.24779520757032028,0.23191885686424046,0.26382081516963873,1.0005404425035194,UP
lineage,primary,identity_error,0.0,-5.551115123125783e-17,5.551115123125783e-17,0.0,UNRESOLVED
lineage,legacy,propensity_component,0.045312776448978694,0.039829394719900095,0.0508233398630525,0.6920504434077548,UP
lineage,legacy,exposure_component,0.020163341485217166,0.017754424547847165,0.02268111083816731,0.30794955659224515,UP
lineage,legacy,decomposition_total,0.06547611793419586,0.05843119064392791,0.0726413151168698,1.0,UP
lineage,legacy,raw_cif_diff,0.06465954433850228,0.05784901472026314,0.07163619327815036,0.9875286803577108,UP
lineage,legacy,identity_error,0.0,-1.3877787807814457e-17,1.3877787807814457e-17,0.0,UNRESOLVED
contiguous,primary,propensity_component,0.13687519548110025,0.1234962998594572,0.15009491110444262,0.553169375336812,UP
contiguous,primary,exposure_component,0.1105629339304568,0.10222759184425988,0.11915631359143218,0.44683062466318807,UP
contiguous,primary,decomposition_total,0.24743812941155702,0.23148577558924557,0.2633147420992273,1.0,UP
contiguous,primary,raw_cif_diff,0.24744607775606486,0.2314837166512937,0.2633375980141086,1.0000321225533297,UP
contiguous,primary,identity_error,2.7755575615628914e-17,-5.551115123125783e-17,5.551115123125783e-17,1.121717808069258e-16,UNRESOLVED
contiguous,legacy,propensity_component,0.04764767730478241,0.042018119065179715,0.053358119104448556,0.7017439143285119,UP
contiguous,legacy,exposure_component,0.02025127604827339,0.017842559343132888,0.02279211837018657,0.2982560856714882,UP
contiguous,legacy,decomposition_total,0.06789895335305579,0.06043463556073955,0.07532435371147886,1.0,UP
contiguous,legacy,raw_cif_diff,0.06796004780786863,0.06048646651681812,0.07533330097969611,1.000899784927393,UP
contiguous,legacy,identity_error,0.0,-1.3877787807814457e-17,1.3877787807814457e-17,0.0,UNRESOLVED
