tag,n_responses,n_missing_response_text,n_missing_gold,n_captured,prefix_candidates,captured_share,mean_blocks_after_capture,mean_novel_triples_after_capture,mean_new_gold_pairs_after_capture,share_with_any_new_gold_pair,mean_gold_pair_coverage_at_capture
qwen3-1.7b-cleanv2,8848,0,0,2296,,0.25949367088607594,285.2778745644599,0.18771777003484322,0.03353658536585366,0.005226480836236934,0.19717433060579304
qwen3-1.7b-keep4-s42,8848,0,0,5360,,0.6057866184448463,376.6406716417911,0.1666044776119403,0.009888059701492537,0.0029850746268656717,0.219950003744212
qwen3-4b-cleanv2-s123,8848,0,0,389,,0.04396473779385172,101.8611825192802,0.5578406169665809,0.061696658097686374,0.015424164524421594,0.2283716513782836
qwen3-4b-cleanv2-s42,8848,0,0,488,<PAPER_ROOT>/R0/R0_prefix_candidates_qwen3-4b-cleanv2-s42.jsonl,0.05515370705244123,99.42827868852459,0.5204918032786885,0.06967213114754098,0.020491803278688523,0.2341533604193417
qwen3-4b-generic-noise-s42,8848,0,0,508,,0.057414104882459314,103.69094488188976,0.3110236220472441,0.07677165354330709,0.011811023622047244,0.2587867567807784
qwen3-4b-isc-a-s42,8848,0,0,343,,0.038765822784810125,79.80758017492711,0.3965014577259475,0.037900874635568516,0.014577259475218658,0.2541575847326753
qwen3-4b-keep4-s123,8848,0,0,2953,,0.33374773960216997,272.06197087707415,1.0904165255672198,0.08804605485946496,0.020656959024720624,0.2723318047257384
qwen3-4b-keep4-s42,8848,0,0,2858,<PAPER_ROOT>/R0/R0_prefix_candidates_qwen3-4b-keep4-s42.jsonl,0.32301084990958406,274.01259622113366,1.4685094471658502,0.15185444366689993,0.030440867739678096,0.2756479443175147
qwen3-4b-notrain,8848,0,0,114,,0.012884267631103074,11.62280701754386,1.1578947368421053,0.07017543859649122,0.03508771929824561,0.1323276569761468
qwen3-4b-obr-p15-s123,8848,0,0,838,,0.09471066907775769,104.55847255369929,0.6121718377088305,0.11217183770883055,0.017899761336515514,0.21889673926347425
qwen3-4b-obr-p15-s42,8848,0,0,859,,0.09708408679927667,119.0430733410943,0.629802095459837,0.13154831199068684,0.018626309662398137,0.22557687524276143
qwen3-8b-cleanv2,8848,0,0,631,<PAPER_ROOT>/R0/R0_prefix_candidates_qwen3-8b-cleanv2.jsonl,0.07131555153707052,141.8621236133122,0.4659270998415214,0.04754358161648178,0.014263074484944533,0.23810757718684983
qwen3-8b-keep4-s42,8848,0,0,2812,<PAPER_ROOT>/R0/R0_prefix_candidates_qwen3-8b-keep4-s42.jsonl,0.3178119349005425,326.15113798008537,0.7190611664295875,0.10953058321479374,0.016002844950213372,0.2852541133826169
