pair,m0_tag,m1_tag,metric,m0,m1,diff_or_value,ci_low,ci_high,direction
4b_CK_s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,pooled_capture_hazard,0.014928112572652186,0.04851715415824944,0.03358904158559725,0.03088351332686798,0.036400419448166965,UP
4b_CK_s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,pooled_gap_stop_hazard,0.15153874098292594,0.05548521516147127,-0.09605352582145467,-0.10389844527909141,-0.08906108002454247,DOWN
4b_CK_s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,pooled_inepisode_stop_hazard,0.07684307127561946,0.042337922487989545,-0.03450514878762991,-0.037785071296687865,-0.031539947481608654,DOWN
4b_CK_s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,cif_capture_final,0.05522343717257757,0.3244059442155693,0.26918250704299174,0.2524872822584027,0.286461894108622,UP
4b_CK_s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,cif_stop_final,0.9447765628274232,0.6755940557844303,-0.26918250704299285,-0.28646189410862155,-0.2524872822584032,DOWN
4b_CK_s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,propensity_component,nan,nan,0.14174243396917152,0.12797363882816554,0.1560040738972441,UP
4b_CK_s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,exposure_component,nan,nan,0.1273924602170177,0.11837609874552096,0.13705249946661124,UP
4b_CK_s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,decomposition_total,nan,nan,0.26913489418618924,0.2524977058865255,0.2864155493386335,UP
4b_CK_s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw_cif_diff,nan,nan,0.26918250704299174,0.2524872822584027,0.286461894108622,UP
4b_CK_s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,capture_rate,0.05515370705244123,0.32301084990958406,0.26785714285714285,0.2513562386980109,0.2851491862567812,UP
