tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:1:0,1,299,0,0,0,3,88
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:1:1,1,179,0,0,0,14,88
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:1:2,1,555,0,0,0,2,88
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:1:3,1,490,0,0,0,2,88
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:1:4,1,556,0,0,0,4,88
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:1:5,1,403,0,0,0,3,88
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:1:6,1,377,0,0,0,16,88
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:1:7,1,480,0,0,0,4,88
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:2:0,2,158,0,0,0,3,93
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:2:3,2,2,0,0,0,6,93
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:2:5,2,202,0,0,0,3,93
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:2:6,2,6,0,0,0,5,93
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:3:1,3,460,0,0,0,6,33
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:3:3,3,0,0,0,0,7,33
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:3:7,3,378,0,0,0,2,33
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:4:0,4,0,0,0,0,4,46
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:5:0,5,404,0,0,0,39,94
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:5:1,5,14,0,0,0,36,94
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:5:2,5,5,0,0,0,37,94
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:5:4,5,522,0,0,0,17,94
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:8:1,8,405,0,0,0,0,16
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:8:2,8,608,0,0,0,0,16
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:8:4,8,400,0,0,0,2,16
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:8:7,8,572,0,0,0,0,16
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:9:2,9,422,0,0,0,11,54
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:9:4,9,239,0,0,0,20,54
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:9:5,9,322,0,0,0,16,54
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:10:1,10,3,0,0,0,6,87
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:10:2,10,0,0,0,0,3,87
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:11:5,11,6,0,0,0,22,43
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:13:2,13,43,0,0,0,13,30
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:13:6,13,27,0,0,0,15,30
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:14:0,14,442,0,0,0,7,81
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:14:1,14,387,0,0,0,2,81
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:14:2,14,377,0,0,0,4,81
qwen3-1.7b-cleanv2,qwen3-1.7b-cleanv2:14:3,14,413,0,0,0,4,81
