tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:1:0,1,432,0,0,0,1,88
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:1:1,1,497,0,0,0,2,88
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:1:2,1,253,0,0,0,6,88
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:1:3,1,454,0,0,0,3,88
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:1:4,1,409,0,0,0,5,88
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:1:5,1,568,0,0,0,1,88
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:1:6,1,442,0,0,0,3,88
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:1:7,1,497,0,0,0,3,88
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:2:0,2,288,0,0,0,5,93
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:2:1,2,236,1,0,0,0,93
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:2:2,2,280,0,0,0,12,93
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:2:3,2,82,0,0,0,6,93
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:2:4,2,174,0,0,0,15,93
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:2:5,2,18,0,0,0,3,93
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:2:6,2,398,0,0,0,7,93
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:2:7,2,112,0,0,0,2,93
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:3:0,3,486,0,0,0,4,33
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:3:1,3,413,0,0,0,4,33
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:3:2,3,470,0,0,0,1,33
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:3:4,3,462,0,0,0,3,33
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:3:5,3,450,0,0,0,2,33
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:3:6,3,417,0,0,0,1,33
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:3:7,3,518,0,0,0,4,33
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:4:0,4,382,0,0,0,4,46
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:4:1,4,502,0,0,0,7,46
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:4:2,4,500,0,0,0,3,46
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:4:3,4,445,0,0,0,4,46
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:4:4,4,470,0,0,0,3,46
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:4:5,4,529,0,0,0,4,46
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:4:6,4,339,0,0,0,3,46
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:4:7,4,410,0,0,0,5,46
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42:5:0,5,376,0,0,0,28,94
