tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:2:1,2,3,0,0,0,14,93
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:2:2,2,8,0,0,0,13,93
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:2:4,2,6,0,0,0,11,93
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:4:0,4,15,0,0,0,6,46
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:4:4,4,327,0,0,0,5,46
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:5:2,5,16,0,0,0,11,94
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:5:4,5,457,0,0,0,11,94
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:14:3,14,3,0,0,0,10,81
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:14:5,14,4,0,0,0,8,81
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:14:7,14,6,0,0,0,11,81
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:16:2,16,12,0,0,0,14,78
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:16:7,16,18,0,0,0,12,78
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:20:2,20,0,0,0,0,20,90
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:21:0,21,482,0,0,0,19,71
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:22:1,22,2,0,0,0,11,60
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:22:7,22,0,0,0,0,13,60
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:23:0,23,527,0,0,0,4,74
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:25:2,25,1,0,0,0,17,61
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:31:0,31,0,0,0,0,5,86
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:31:6,31,31,0,0,0,4,86
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:42:1,42,1,0,0,0,8,56
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:45:5,45,376,0,0,0,11,77
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:48:4,48,5,0,0,0,7,80
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:48:6,48,30,0,0,0,14,80
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:48:7,48,7,0,0,0,20,80
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:50:4,50,15,0,0,0,22,70
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:58:4,58,0,0,0,0,11,49
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:60:1,60,285,0,0,0,13,95
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:60:3,60,0,0,0,0,18,95
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:60:6,60,1,0,0,0,22,95
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:66:4,66,2,0,0,0,16,65
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:67:0,67,492,0,0,0,2,78
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:67:3,67,504,0,0,0,1,78
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:67:6,67,7,0,0,0,1,78
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:74:0,74,303,0,0,0,9,45
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:74:1,74,13,0,0,0,9,45
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:74:3,74,415,0,0,0,4,45
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:74:7,74,12,0,0,0,6,45
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:77:1,77,2,0,0,0,4,55
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:77:2,77,2,0,0,0,13,55
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:77:3,77,2,0,0,0,1,55
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:77:6,77,0,0,0,0,4,55
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:82:1,82,7,0,0,0,21,56
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:82:2,82,96,0,0,0,22,56
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:82:6,82,7,0,0,0,19,56
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:85:2,85,1,0,0,0,7,61
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:87:5,87,39,0,0,0,4,43
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:93:5,93,1,0,0,0,21,47
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:102:0,102,1,0,0,0,26,68
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:103:7,103,0,0,0,0,23,47
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:113:6,113,0,0,0,0,4,9
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:117:0,117,0,0,0,0,7,41
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:117:2,117,22,0,0,0,8,41
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:117:3,117,10,0,0,0,6,41
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:118:2,118,2,0,0,0,19,60
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:118:6,118,3,0,0,0,7,60
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:123:7,123,221,0,0,0,28,112
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:132:5,132,5,0,0,0,15,53
qwen3-4b-isc-a-s42,qwen3-4b-isc-a-s42:134:1,134,0,0,0,0,18,64
