tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:1:6,1,17,0,0,0,3,88
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:2:1,2,9,0,0,0,6,93
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:2:2,2,4,0,0,0,14,93
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:2:5,2,2,0,0,0,5,93
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:2:6,2,3,0,0,0,10,93
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:4:0,4,456,0,0,0,6,46
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:4:5,4,9,0,0,0,9,46
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:4:6,4,420,0,0,0,9,46
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:4:7,4,7,0,0,0,8,46
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:5:0,5,308,0,0,0,10,94
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:5:1,5,374,0,0,0,13,94
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:5:7,5,356,0,0,0,39,94
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:8:5,8,5,0,0,0,3,16
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:14:5,14,8,0,0,0,10,81
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:16:0,16,107,0,0,0,2,78
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:16:1,16,318,0,0,0,6,78
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:16:3,16,364,0,0,0,12,78
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:16:7,16,46,0,0,0,2,78
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:17:5,17,23,0,0,0,18,70
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:19:3,19,533,0,0,0,7,51
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:20:0,20,8,0,0,0,2,90
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:20:1,20,83,42,0,4,13,90
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:20:2,20,421,0,0,0,5,90
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:20:3,20,518,0,0,0,10,90
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:20:4,20,0,0,0,0,8,90
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:20:6,20,484,0,0,0,4,90
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:20:7,20,15,0,0,0,16,90
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:21:1,21,1,0,0,0,12,71
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:21:4,21,131,0,0,0,12,71
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:21:6,21,0,0,0,0,22,71
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:21:7,21,10,0,0,0,28,71
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:22:1,22,530,0,0,0,3,60
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:22:3,22,37,37,1,20,27,60
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:23:3,23,290,0,0,0,7,74
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:23:5,23,11,0,0,0,6,74
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:23:6,23,231,0,0,0,10,74
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:25:0,25,494,0,0,0,10,61
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:25:2,25,325,0,0,0,13,61
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:28:7,28,272,0,0,0,15,59
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:29:4,29,6,0,0,0,22,120
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:30:6,30,4,0,0,0,27,47
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:31:1,31,335,0,0,0,6,86
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:31:2,31,7,0,0,0,7,86
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:31:3,31,303,0,0,0,5,86
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:31:4,31,270,0,0,0,8,86
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:31:5,31,16,0,0,0,7,86
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:31:7,31,28,0,0,0,5,86
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:35:1,35,6,0,0,0,17,59
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:35:3,35,8,0,0,0,18,59
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:35:4,35,56,0,0,0,17,59
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:35:6,35,355,0,0,0,7,59
