tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-8b-cleanv2,qwen3-8b-cleanv2:2:2,2,2,0,0,0,14,93
qwen3-8b-cleanv2,qwen3-8b-cleanv2:14:1,14,1,0,0,0,18,81
qwen3-8b-cleanv2,qwen3-8b-cleanv2:14:3,14,36,0,0,0,14,81
qwen3-8b-cleanv2,qwen3-8b-cleanv2:14:4,14,452,0,0,0,7,81
qwen3-8b-cleanv2,qwen3-8b-cleanv2:14:5,14,455,0,0,0,21,81
qwen3-8b-cleanv2,qwen3-8b-cleanv2:14:7,14,88,0,0,0,13,81
qwen3-8b-cleanv2,qwen3-8b-cleanv2:16:0,16,432,0,0,0,13,78
qwen3-8b-cleanv2,qwen3-8b-cleanv2:16:1,16,267,0,0,0,15,78
qwen3-8b-cleanv2,qwen3-8b-cleanv2:16:4,16,349,0,0,0,13,78
qwen3-8b-cleanv2,qwen3-8b-cleanv2:16:5,16,322,0,0,0,17,78
qwen3-8b-cleanv2,qwen3-8b-cleanv2:17:4,17,93,0,0,0,8,70
qwen3-8b-cleanv2,qwen3-8b-cleanv2:20:0,20,20,0,0,0,20,90
qwen3-8b-cleanv2,qwen3-8b-cleanv2:20:2,20,21,0,0,0,16,90
qwen3-8b-cleanv2,qwen3-8b-cleanv2:20:3,20,383,0,0,0,18,90
qwen3-8b-cleanv2,qwen3-8b-cleanv2:20:4,20,16,0,0,0,19,90
qwen3-8b-cleanv2,qwen3-8b-cleanv2:20:6,20,7,0,0,0,18,90
qwen3-8b-cleanv2,qwen3-8b-cleanv2:20:7,20,11,0,0,0,18,90
qwen3-8b-cleanv2,qwen3-8b-cleanv2:22:5,22,51,0,0,0,18,60
qwen3-8b-cleanv2,qwen3-8b-cleanv2:28:6,28,27,0,0,0,17,59
qwen3-8b-cleanv2,qwen3-8b-cleanv2:29:1,29,32,0,0,0,25,120
qwen3-8b-cleanv2,qwen3-8b-cleanv2:30:1,30,498,0,0,0,18,47
qwen3-8b-cleanv2,qwen3-8b-cleanv2:30:5,30,512,0,0,0,15,47
qwen3-8b-cleanv2,qwen3-8b-cleanv2:31:2,31,25,0,0,0,5,86
qwen3-8b-cleanv2,qwen3-8b-cleanv2:31:4,31,27,0,0,0,8,86
qwen3-8b-cleanv2,qwen3-8b-cleanv2:31:7,31,10,0,0,0,7,86
qwen3-8b-cleanv2,qwen3-8b-cleanv2:34:7,34,48,0,0,0,31,103
qwen3-8b-cleanv2,qwen3-8b-cleanv2:35:4,35,341,0,0,0,8,59
qwen3-8b-cleanv2,qwen3-8b-cleanv2:35:6,35,376,0,0,0,10,59
qwen3-8b-cleanv2,qwen3-8b-cleanv2:48:0,48,36,0,0,0,3,80
qwen3-8b-cleanv2,qwen3-8b-cleanv2:48:3,48,19,0,0,0,9,80
qwen3-8b-cleanv2,qwen3-8b-cleanv2:48:4,48,0,0,0,0,10,80
qwen3-8b-cleanv2,qwen3-8b-cleanv2:48:7,48,0,0,0,0,11,80
qwen3-8b-cleanv2,qwen3-8b-cleanv2:51:1,51,175,27,1,2,38,120
qwen3-8b-cleanv2,qwen3-8b-cleanv2:51:2,51,32,0,0,0,30,120
qwen3-8b-cleanv2,qwen3-8b-cleanv2:51:3,51,111,0,0,0,27,120
qwen3-8b-cleanv2,qwen3-8b-cleanv2:56:0,56,0,0,0,0,26,52
qwen3-8b-cleanv2,qwen3-8b-cleanv2:59:5,59,26,0,0,0,31,70
qwen3-8b-cleanv2,qwen3-8b-cleanv2:60:3,60,23,0,0,0,20,95
qwen3-8b-cleanv2,qwen3-8b-cleanv2:64:7,64,24,0,0,0,9,56
qwen3-8b-cleanv2,qwen3-8b-cleanv2:66:0,66,119,0,0,0,24,65
qwen3-8b-cleanv2,qwen3-8b-cleanv2:66:3,66,12,0,0,0,24,65
qwen3-8b-cleanv2,qwen3-8b-cleanv2:66:6,66,4,0,0,0,26,65
qwen3-8b-cleanv2,qwen3-8b-cleanv2:67:2,67,2,0,0,0,1,78
qwen3-8b-cleanv2,qwen3-8b-cleanv2:70:1,70,0,0,0,0,21,115
qwen3-8b-cleanv2,qwen3-8b-cleanv2:75:0,75,44,0,0,0,12,59
qwen3-8b-cleanv2,qwen3-8b-cleanv2:75:4,75,432,0,0,0,4,59
qwen3-8b-cleanv2,qwen3-8b-cleanv2:75:5,75,11,0,0,0,6,59
