scale,model_tag,role,n_anchors,close_reachable_share,close_prob_pre_filter_mean,close_sampler_prob_mean,eos_after_forced_close_prob_mean,next_event_close_rate_mean,eos_without_close_rate_mean,unresolved_rate_mean,margin_first_policy_mean,margin_path_policy_mean
4B,qwen3-4b-cleanv2-s123,all,256,0.48828125,0.28352279357669286,0.27990436902345295,0.9999989077936107,0.2802734375,0.0,0.0,-4.089704241071429,nan
4B,qwen3-4b-cleanv2-s123,natural_stop,128,0.9140625,0.5329805463338841,0.537686800066938,0.9999993252603705,0.53857421875,0.0,0.0,0.17159598214285704,nan
4B,qwen3-4b-cleanv2-s123,early_remaining,64,0.015625,0.006202649161217678,0.004539383836489848,0.9999980866330138,0.005859375,0.0,0.0,-10.421316964285715,nan
4B,qwen3-4b-cleanv2-s123,pre_first_reuse,64,0.109375,0.06192743247778545,0.039704492123445886,0.9999988940206879,0.0380859375,0.0,0.0,-6.280691964285715,nan
4B,qwen3-4b-cleanv2-s42,all,256,0.51953125,0.2800862991878053,0.2805470855754885,0.9999989605579829,0.286376953125,0.0,0.0,-4.063197544642858,nan
4B,qwen3-4b-cleanv2-s42,natural_stop,128,0.96875,0.527011610279174,0.5377773424549407,0.9999993621962272,0.5458984375,0.0,0.0,0.15764508928571425,nan
4B,qwen3-4b-cleanv2-s42,early_remaining,64,0.015625,0.006035504644514182,0.003986429755176829,0.999998338220253,0.005859375,0.0,0.0,-10.298549107142858,nan
4B,qwen3-4b-cleanv2-s42,pre_first_reuse,64,0.125,0.060286471548359255,0.042647227636895726,0.9999987796192241,0.0478515625,0.0,0.0,-6.269531250000001,nan
4B,qwen3-4b-keep4-s123,all,256,0.21484375,0.11227905695780235,0.08778523702061067,0.9999971899150023,0.085205078125,0.0,0.0,-5.905412946428572,nan
4B,qwen3-4b-keep4-s123,natural_stop,128,0.4296875,0.22091290183373902,0.17557047404122134,0.999998666521242,0.17041015625,0.0,0.0,-1.8233816964285716,nan
4B,qwen3-4b-keep4-s123,early_remaining,64,0.0,0.00026520291933698206,0.0,0.9999943560667373,0.0,0.0,0.0,-11.489955357142858,nan
4B,qwen3-4b-keep4-s123,pre_first_reuse,64,0.0,0.007025221244394411,0.0,0.9999970705507877,0.0,0.0,0.0,-8.484933035714286,nan
4B,qwen3-4b-keep4-s42,all,256,0.28125,0.1189360869004908,0.10671369950948124,0.9999979914344486,0.103759765625,0.0,0.0,-5.984235491071429,nan
4B,qwen3-4b-keep4-s42,natural_stop,128,0.5625,0.23498214643077422,0.2134273990189625,0.9999986820093965,0.20751953125,0.0,0.0,-1.8205915178571432,nan
4B,qwen3-4b-keep4-s42,early_remaining,64,0.0,0.0002547216491339674,0.0,0.9999966811415865,0.0,0.0,0.0,-11.724330357142858,nan
4B,qwen3-4b-keep4-s42,pre_first_reuse,64,0.0,0.0055253330912807975,0.0,0.9999979205774148,0.0,0.0,0.0,-8.571428571428573,nan
4B,qwen3-4b-obr-p15-s123,all,256,0.4453125,0.257391870137286,0.2513431551633148,0.9999987779038402,0.248779296875,0.0,0.0,-4.172014508928572,nan
4B,qwen3-4b-obr-p15-s123,natural_stop,128,0.8359375,0.48297555588370683,0.48262374534856145,0.9999992283749641,0.47802734375,0.0,0.0,-0.13532366071428548,nan
4B,qwen3-4b-obr-p15-s123,early_remaining,64,0.015625,0.005773782207744631,0.004539383836489848,0.9999980203797997,0.0048828125,0.0,0.0,-10.200892857142858,nan
4B,qwen3-4b-obr-p15-s123,pre_first_reuse,64,0.09375,0.057842586573985645,0.035585746119646454,0.9999986344856326,0.0341796875,0.0,0.0,-6.216517857142858,nan
4B,qwen3-4b-obr-p15-s42,all,256,0.44140625,0.25062436341732286,0.2402877733663995,0.9999991916781237,0.241455078125,0.0,0.0,-4.027622767857143,nan
4B,qwen3-4b-obr-p15-s42,natural_stop,128,0.828125,0.4710299715378659,0.4626631711644993,0.9999994591451251,0.462890625,0.0,0.0,-0.17159598214285704,nan
4B,qwen3-4b-obr-p15-s42,early_remaining,64,0.015625,0.006521822411545519,0.00513519603933234,0.9999986971421309,0.0048828125,0.0,0.0,-9.734933035714286,nan
4B,qwen3-4b-obr-p15-s42,pre_first_reuse,64,0.09375,0.053915688182014074,0.030689555097267146,0.9999991512801137,0.03515625,0.0,0.0,-6.032366071428572,nan
