metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,scale,contrast,kind,m0_tag,m1_tag,split,role,source,n_anchors
next_event_close_rate,0.2780511811023622,0.10679133858267717,-0.17125984251968504,-0.21100144230769233,-0.13268601190476195,118,127,127,m1_lower,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,all,127
continue_rate,0.7219488188976378,0.8932086614173228,0.17125984251968496,0.13268601190476198,0.21100144230769227,118,127,127,m1_higher,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,all,127
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,127,127,interval_covers_zero,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,all,127
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,127,127,interval_covers_zero,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,all,127
margin_first_policy,-3.877952755905513,-5.932227221597299,-2.054274465691786,-2.293336937793489,-1.825084364454443,118,127,127,m1_lower,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,all,127
margin_first_raw,-4.214566929133858,-5.65255905511811,-1.4379921259842519,-1.6053358564554432,-1.2775590551181102,118,127,127,m1_lower,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,all,127
close_prob_pre_filter,0.2743866276115889,0.11720412258869442,-0.15718250502289446,-0.18814358132706052,-0.1263654793147815,118,127,127,m1_lower,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,all,127
close_sampler_prob,0.27220416992821317,0.10644178685150506,-0.1657623830767081,-0.20134928231636834,-0.13105424900167406,118,127,127,m1_lower,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,all,127
eos_after_forced_close_prob,0.9999990446037679,0.9999980450948293,-9.995089386150013e-07,-1.3158466816626246e-06,-7.574769957524598e-07,118,127,127,m1_lower,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,all,127
next_event_close_rate,0.189453125,0.0244140625,-0.1650390625,-0.2197700652841782,-0.11407602813852821,61,64,64,m1_lower,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,qwen3-4b-cleanv2-s42,64
continue_rate,0.810546875,0.9755859375,0.1650390625,0.11407602813852807,0.2197700652841782,61,64,64,m1_higher,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,qwen3-4b-cleanv2-s42,64
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,61,64,64,interval_covers_zero,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,qwen3-4b-cleanv2-s42,64
unresolved_rate,0.0,0.0,0.0,0.0,0.0,61,64,64,interval_covers_zero,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,qwen3-4b-cleanv2-s42,64
margin_first_policy,-4.232700892857143,-6.609933035714286,-2.3772321428571423,-2.73053589715456,-2.027553763440861,61,64,64,m1_lower,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,qwen3-4b-cleanv2-s42,64
margin_first_raw,-4.462890625,-6.126953125,-1.6640625,-1.9113751280081928,-1.419287634408603,61,64,64,m1_lower,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,qwen3-4b-cleanv2-s42,64
close_prob_pre_filter,0.19843758963098335,0.04081424603035583,-0.15762334360062752,-0.20105957258553295,-0.11503339918844938,61,64,64,m1_lower,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,qwen3-4b-cleanv2-s42,64
close_sampler_prob,0.18536394660250047,0.026963369589748876,-0.1584005770127516,-0.20726811224544764,-0.1112273152962989,61,64,64,m1_lower,4B,raw - cleaned (s42),treatment,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,test,all,qwen3-4b-cleanv2-s42,64
