scale,model_tag,role,condition,n_continuations,n_anchors,tail_capture,tail_capture_n,tail_orbit,tail_orbit_n,actual_eos,actual_eos_n,tail_hit_max,tail_hit_max_n,json_complete,json_complete_n,new_gold_triples,new_gold_triples_n,new_gold_pairs,new_gold_pairs_n,remaining_gold_pair_recall,remaining_gold_pair_recall_n,tail_tokens,tail_tokens_n,n_blocks_tail,n_blocks_tail_n
4B,qwen3-4b-cleanv2-s42,all,baseline,256,64,0.05859375,256,0.00390625,256,0.9921875,256,0.0078125,256,0.9921875,256,1.05859375,256,4.2265625,256,0.12148099599823232,256,1876.1640625,256,32.515625,256
4B,qwen3-4b-cleanv2-s42,all,close_bias,256,64,0.046875,256,0.0,256,0.99609375,256,0.00390625,256,0.99609375,256,1.3515625,256,4.6953125,256,0.13537124714665902,256,1886.2578125,256,32.2109375,256
4B,qwen3-4b-cleanv2-s42,all,direction_a1,256,64,0.05078125,256,0.0,256,0.9921875,256,0.0078125,256,0.9921875,256,0.8828125,256,4.38671875,256,0.1255525370359955,256,1878.9765625,256,32.56640625,256
4B,qwen3-4b-cleanv2-s42,all,random_matched,256,64,0.05859375,256,0.0,256,0.9921875,256,0.0078125,256,0.9921875,256,1.1484375,256,4.76953125,256,0.13675005318620748,256,1927.76953125,256,33.875,256
4B,qwen3-4b-cleanv2-s42,early_remaining,baseline,128,32,0.0625,128,0.0,128,1.0,128,0.0,128,1.0,128,1.7578125,128,7.265625,128,0.20058181383391027,128,2526.0234375,128,43.5078125,128
4B,qwen3-4b-cleanv2-s42,early_remaining,close_bias,128,32,0.0625,128,0.0,128,1.0,128,0.0,128,1.0,128,2.234375,128,8.09375,128,0.22846319101054466,128,2668.21875,128,45.796875,128
4B,qwen3-4b-cleanv2-s42,early_remaining,direction_a1,128,32,0.0703125,128,0.0,128,0.9921875,128,0.0078125,128,0.9921875,128,1.5390625,128,7.90625,128,0.22350046078668376,128,2775.78125,128,48.9765625,128
4B,qwen3-4b-cleanv2-s42,early_remaining,random_matched,128,32,0.09375,128,0.0,128,0.984375,128,0.015625,128,0.984375,128,1.9921875,128,8.296875,128,0.2330821433929262,128,2998.828125,128,53.1796875,128
4B,qwen3-4b-cleanv2-s42,natural_stop,baseline,64,16,0.0,64,0.0,64,1.0,64,0.0,64,1.0,64,0.0,64,0.0,64,0.0,64,98.859375,64,1.421875,64
4B,qwen3-4b-cleanv2-s42,natural_stop,close_bias,64,16,0.015625,64,0.0,64,1.0,64,0.0,64,1.0,64,0.0,64,0.0,64,0.0,64,143.5,64,2.234375,64
4B,qwen3-4b-cleanv2-s42,natural_stop,direction_a1,64,16,0.03125,64,0.0,64,1.0,64,0.0,64,1.0,64,0.0,64,0.03125,64,0.0010080645161290322,64,202.40625,64,3.09375,64
4B,qwen3-4b-cleanv2-s42,natural_stop,random_matched,64,16,0.0,64,0.0,64,1.0,64,0.0,64,1.0,64,0.0,64,0.015625,64,0.0005040322580645161,64,107.09375,64,1.609375,64
4B,qwen3-4b-cleanv2-s42,pre_first_reuse,baseline,64,16,0.109375,64,0.015625,64,0.96875,64,0.03125,64,0.96875,64,0.71875,64,2.375,64,0.08476035632510874,64,2353.75,64,41.625,64
4B,qwen3-4b-cleanv2-s42,pre_first_reuse,close_bias,64,16,0.046875,64,0.0,64,0.984375,64,0.015625,64,0.984375,64,0.9375,64,2.59375,64,0.08455860656554673,64,2065.09375,64,35.015625,64
