metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,scale,model_tag,role,condition,n_draws
tail_capture,0.05859375,0.046875,-0.01171875,-0.03907800099206349,0.014931026684757999,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,close_bias,256
tail_capture,0.05859375,0.05078125,-0.0078125,-0.04168269230769231,0.023076923076923078,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,direction_a1,256
tail_capture,0.05859375,0.05859375,0.0,-0.028225806451612906,0.029411764705882346,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,random_matched,256
tail_orbit,0.00390625,0.0,-0.00390625,-0.012295081967213115,0.0,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,close_bias,256
tail_orbit,0.00390625,0.0,-0.00390625,-0.012295081967213115,0.0,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,direction_a1,256
tail_orbit,0.00390625,0.0,-0.00390625,-0.012295081967213115,0.0,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,random_matched,256
actual_eos,0.9921875,0.99609375,0.00390625,0.0,0.012295081967213184,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,close_bias,256
actual_eos,0.9921875,0.9921875,0.0,-0.01171875,0.01171875,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,direction_a1,256
actual_eos,0.9921875,0.9921875,0.0,-0.020491803278688603,0.016393442622950838,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,random_matched,256
tail_hit_max,0.0078125,0.00390625,-0.00390625,-0.012295081967213115,0.0,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,close_bias,256
tail_hit_max,0.0078125,0.0078125,0.0,-0.01171875,0.01171875,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,direction_a1,256
tail_hit_max,0.0078125,0.0078125,0.0,-0.01639344262295082,0.020491803278688523,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,random_matched,256
json_complete,0.9921875,0.99609375,0.00390625,0.0,0.012295081967213184,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,close_bias,256
json_complete,0.9921875,0.9921875,0.0,-0.01171875,0.01171875,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,direction_a1,256
json_complete,0.9921875,0.9921875,0.0,-0.020491803278688603,0.016393442622950838,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,random_matched,256
new_gold_triples,1.05859375,1.3515625,0.29296875,0.05680901759530797,0.5645425700687465,59,64,64,m1_higher,4B,qwen3-4b-cleanv2-s42,all,close_bias,256
new_gold_triples,1.05859375,0.8828125,-0.17578125,-0.5118356173155738,0.11667968749999996,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,direction_a1,256
new_gold_triples,1.05859375,1.1484375,0.08984375,-0.08606557377049173,0.26565104166666653,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,random_matched,256
new_gold_pairs,4.2265625,4.6953125,0.46875,0.056786616161616,0.8576923076923082,59,64,64,m1_higher,4B,qwen3-4b-cleanv2-s42,all,close_bias,256
new_gold_pairs,4.2265625,4.38671875,0.16015625,-0.3185924899193551,0.6328733350409833,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,direction_a1,256
new_gold_pairs,4.2265625,4.76953125,0.54296875,0.19920151654411766,0.9058481685450821,59,64,64,m1_higher,4B,qwen3-4b-cleanv2-s42,all,random_matched,256
remaining_gold_pair_recall,0.12148099599823231,0.13537124714665902,0.013890251148426708,0.001744709079141895,0.026073084248558316,59,64,64,m1_higher,4B,qwen3-4b-cleanv2-s42,all,close_bias,256
remaining_gold_pair_recall,0.12148099599823231,0.1255525370359955,0.004071541037763193,-0.011091844170525495,0.019163665244035996,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,direction_a1,256
remaining_gold_pair_recall,0.12148099599823231,0.13675005318620748,0.015269057187975166,0.0035377073512191525,0.02739966749463011,59,64,64,m1_higher,4B,qwen3-4b-cleanv2-s42,all,random_matched,256
tail_tokens,1876.1640625,1886.2578125,10.09375,-243.36795944940474,203.40975806451615,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,close_bias,256
tail_tokens,1876.1640625,1878.9765625,2.8125,-299.48477202868867,275.53694672131127,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,direction_a1,256
tail_tokens,1876.1640625,1927.76953125,51.60546875,-336.5952182678821,517.5139204545452,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,random_matched,256
n_blocks_tail,32.515625,32.2109375,-0.3046875,-5.834280303030305,3.385392979904811,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,close_bias,256
n_blocks_tail,32.515625,32.56640625,0.05078125,-6.335820895522387,5.564542570068752,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,direction_a1,256
n_blocks_tail,32.515625,33.875,1.359375,-6.484615721288519,11.084280303030301,59,64,64,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,all,random_matched,256
tail_capture,0.0625,0.0625,0.0,-0.0546875,0.0546875,32,32,32,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,early_remaining,close_bias,128
tail_capture,0.0625,0.0703125,0.0078125,-0.046875,0.0625,32,32,32,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,early_remaining,direction_a1,128
tail_capture,0.0625,0.09375,0.03125,-0.015625,0.078125,32,32,32,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,early_remaining,random_matched,128
tail_orbit,0.0,0.0,0.0,0.0,0.0,32,32,32,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,early_remaining,close_bias,128
tail_orbit,0.0,0.0,0.0,0.0,0.0,32,32,32,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,early_remaining,direction_a1,128
tail_orbit,0.0,0.0,0.0,0.0,0.0,32,32,32,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,early_remaining,random_matched,128
actual_eos,1.0,1.0,0.0,0.0,0.0,32,32,32,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,early_remaining,close_bias,128
actual_eos,1.0,0.9921875,-0.0078125,-0.0234375,0.0,32,32,32,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,early_remaining,direction_a1,128
actual_eos,1.0,0.984375,-0.015625,-0.046875,0.0,32,32,32,interval_covers_zero,4B,qwen3-4b-cleanv2-s42,early_remaining,random_matched,128
