metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,m0_tag,m1_tag,purpose,motif_length
gain_motif,1.5498278410034392,0.3185285918211065,-1.2312992491823327,-1.333909397951914,-1.1366917894204813,128,512,512,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,all
gain_copy,1.5534880749396507,0.29494681002688594,-1.2585412649127647,-1.3595190145989022,-1.1630013430069766,128,512,512,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,all
gain_recovery,-0.0036602339362114544,0.023581781794220547,0.027242015730432,-0.0024392370665924186,0.0547619138885573,128,512,512,interval_covers_zero,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,all
margin_c1,-0.9388161433266238,-0.5922989273189359,0.3465172160076879,0.25207976159957035,0.4512391139713657,128,512,512,m1_higher,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,all
margin_c2,0.6110116976768154,-0.27377033549782936,-0.8847820331746448,-0.9664088701433208,-0.8052490770039238,128,512,512,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,all
gain_second,0.698930710019666,0.5360876318227383,-0.16284307819692767,-0.202037932609426,-0.12736526344141055,128,512,512,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,all
gain_motif,1.1838421996031343,0.2699233645230379,-0.9139188350800964,-1.0760698090774938,-0.7739774276558847,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,1
gain_copy,1.289068995625712,0.2775179718155414,-1.0115510238101706,-1.187683554427349,-0.8643157235434046,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,1
gain_recovery,-0.10522679602257767,-0.007594607292503497,0.09763218873007418,0.05625822338554372,0.13817518609725568,128,128,128,m1_higher,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,1
margin_c1,-0.9895265781213425,-0.6077199666010529,0.3818066115202896,0.1994846731458196,0.5894916847056363,128,128,128,m1_higher,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,1
margin_c2,0.19431562148179182,-0.337796602078015,-0.5321122235598068,-0.7056184674575932,-0.3732112003538163,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,1
gain_second,0.556432263798115,0.3843933532916708,-0.17203891050644415,-0.23980163308752936,-0.10968454787338415,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,1
gain_motif,1.2489904018385898,0.26948612146361484,-0.979504280374975,-1.1553458173184086,-0.813938097794308,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,2
gain_copy,1.3000098033226095,0.24672531569376588,-1.0532844876288436,-1.222406364303606,-0.890914180445543,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,2
gain_recovery,-0.05101940148401973,0.022760805769848957,0.07378020725386869,0.03022801440649945,0.11931009802924088,128,128,128,m1_higher,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,2
margin_c1,-0.8530446395951896,-0.5583437328691616,0.294700906726028,0.07940543512242504,0.5114427817007079,128,128,128,m1_higher,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,2
margin_c2,0.39594576224340017,-0.2888576114055468,-0.684803373648947,-0.8228339901946526,-0.5448287273101415,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,2
gain_second,0.7378754639901217,0.4985554998565931,-0.23931996413352863,-0.32795414469398454,-0.15920186553032636,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,2
gain_motif,1.5355385959815968,0.3120532696441387,-1.223485326337458,-1.4008478272359037,-1.0649425091327882,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,4
gain_copy,1.5456409020262072,0.29244422109331936,-1.2531966809328878,-1.4267987967239606,-1.1038138375515703,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,4
gain_recovery,-0.010102306044610376,0.019609048550819352,0.02971135459542973,-0.031477592346990615,0.08573392604810787,128,128,128,interval_covers_zero,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,4
margin_c1,-0.8291204703781196,-0.5228304503609706,0.306290020017149,0.13521217065483293,0.4895454519432187,128,128,128,m1_higher,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,4
margin_c2,0.7064181256034772,-0.21077718071683194,-0.9171953063203091,-1.0530911515657864,-0.7901155589427277,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,4
gain_second,0.764034739406668,0.6339415446091152,-0.13009319479755277,-0.20659769768252972,-0.04754536716597643,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,4
gain_motif,2.230940166590436,0.4226516116536345,-1.8082885549368015,-2.044477455495846,-1.583923787174493,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,8
gain_copy,2.079232598784074,0.36309973150491714,-1.716132867279157,-1.9358093097358506,-1.5102933833219143,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,8
gain_recovery,0.15170756780636196,0.05955188014871737,-0.09215568765764459,-0.18287422312997154,-0.008385898354175188,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,8
margin_c1,-1.0835728852118436,-0.6803015594445583,0.4032713257672853,0.20102763159702616,0.6138715842690897,128,128,128,m1_higher,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,8
margin_c2,1.1473672813785925,-0.25764994779092376,-1.4050172291695162,-1.554262405275915,-1.2548965317669059,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,8
gain_second,0.7373803728837593,0.6274601295335742,-0.10992024335018513,-0.1983394651274172,-0.02490595711832747,128,128,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42,SFT on cleaned data,8
gain_motif,0.3185285918211065,0.4054821159452331,0.0869535241241266,0.07354693083238609,0.10118962289358499,128,512,512,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,all
gain_copy,0.29494681002688594,0.3783014082509908,0.08335459822410485,0.07043047753213613,0.09722712244565627,128,512,512,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,all
gain_recovery,0.023581781794220547,0.0271807076942423,0.0035989259000217544,-0.0010998589597136287,0.008303590589101259,128,512,512,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,all
margin_c1,-0.5922989273189359,-0.5685989936914666,0.02369993362746925,0.009496301365762605,0.03806809346211394,128,512,512,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,all
margin_c2,-0.27377033549782936,-0.1631168777462335,0.11065345775159585,0.09629181161361658,0.12572795312200924,128,512,512,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,all
gain_second,0.5360876318227383,0.5104377816683154,-0.025649850154422893,-0.03861027444863794,-0.012439592099178757,128,512,512,m1_lower,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,all
gain_motif,0.2699233645230379,0.32789239351996,0.057969028996922134,0.03677039679197378,0.0773822906207215,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,1
gain_copy,0.2775179718155414,0.33359671058133245,0.05607873876579106,0.03565387184498832,0.07560677248984574,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,1
gain_recovery,-0.007594607292503497,-0.0057043170613724214,0.0018902902311310754,-0.004349515167405116,0.008351891338588753,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,1
margin_c1,-0.6077199666010529,-0.5773253964493961,0.030394570151656808,0.004947973010109763,0.056445705783426094,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,1
margin_c2,-0.337796602078015,-0.24943300292943604,0.08836359914857894,0.06391649383003824,0.11308722048324851,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,1
gain_second,0.3843933532916708,0.39500122476601973,0.01060787147434894,-0.004135176743056945,0.02620776468565963,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,1
gain_motif,0.26948612146361484,0.3036536731101478,0.034167551646532957,0.01447741072665849,0.05333521566834633,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,2
gain_copy,0.24672531569376588,0.287339783157222,0.040614467463456094,0.025212799190194347,0.056278562999796104,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,2
gain_recovery,0.022760805769848957,0.01631388995292582,-0.006446915816923138,-0.016275408253039813,0.0024698454515089414,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,2
margin_c1,-0.5583437328691616,-0.5252716911722928,0.03307204169686884,0.005611732154511629,0.0629404182841199,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,2
margin_c2,-0.2888576114055468,-0.22161801806214498,0.0672395933434018,0.044704780004849454,0.09216009726933408,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,2
gain_second,0.4985554998565931,0.49877183436910855,0.0002163345125154592,-0.02086933813379801,0.021436107104000242,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,2
gain_motif,0.3120532696441387,0.41653599616597603,0.10448272652183732,0.0714669702068477,0.14646048622788613,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,4
gain_copy,0.29244422109331936,0.392270426498726,0.09982620540540665,0.06856056446849834,0.14108232428261544,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,4
gain_recovery,0.019609048550819352,0.02426556966725002,0.0046565211164306675,-0.0061149683362600625,0.014921605238714617,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,4
