model_tag,model_path,probe_id,stable_prompt_id,m,anchor_region,k_1based,gold_blocks,s_R_C1,s_N_C1,s_R_C2,s_N_C2,s_R_C3,s_N_C3,gain_motif,gain_copy,gain_recovery,margin_c1,margin_c2,gain_second,seconds
qwen3-4b-cleanv2-s42,<TRAIN_ROOT>/qwen3-4b-cleanv2-s42/checkpoint-417,d965150b2da21de4ba4a3d1d,74,1,early,7,45,-0.9100198149681091,-1.284233808517456,-0.5450012683868408,-1.2263357639312744,-0.26025480031967163,-1.2846102714538574,0.30712050199508667,0.3650185465812683,-0.05789804458618164,0.3742139935493469,0.6813344955444336,0.3430209755897522,1.96
qwen3-4b-cleanv2-s42,<TRAIN_ROOT>/qwen3-4b-cleanv2-s42/checkpoint-417,2d2e725f52b09920c56037f9,74,2,late,39,45,-1.1517339944839478,-0.9192721247673035,-1.237526535987854,-0.8564642667770386,-0.7915534973144531,-0.8692498207092285,-0.14860039949417114,-0.08579254150390625,-0.06280785799026489,-0.2324618697166443,-0.38106226921081543,0.4587585926055908,1.92
qwen3-4b-cleanv2-s42,<TRAIN_ROOT>/qwen3-4b-cleanv2-s42/checkpoint-417,4abd7e4c5ea1c19c72626455,74,4,mid,25,45,-1.1456623077392578,-0.0024065538309514523,-0.6601815223693848,-0.026821136474609375,-0.3174004554748535,-0.13363803923130035,0.509895368013531,0.48548078536987305,0.024414582643657923,-1.1432557539083064,-0.6333603858947754,0.44959796965122223,1.77
qwen3-4b-cleanv2-s42,<TRAIN_ROOT>/qwen3-4b-cleanv2-s42/checkpoint-417,01075d90db01d5df3308e80b,74,8,early,10,45,-1.06952702999115,-0.30848121643066406,-1.0406996011734009,-0.2993214428424835,-0.3184114098548889,-0.29187849164009094,0.01966765522956848,0.028827428817749023,-0.009159773588180542,-0.7610458135604858,-0.7413781583309174,0.7148452401161194,1.5
qwen3-4b-cleanv2-s42,<TRAIN_ROOT>/qwen3-4b-cleanv2-s42/checkpoint-417,998df6743db6815184e98a68,149,1,late,25,27,-0.7970285415649414,-2.609323024749756,-0.5821013450622559,-2.3786377906799316,-0.3108208179473877,-2.355146884918213,-0.015758037567138672,0.21492719650268555,-0.23068523406982422,1.8122944831848145,1.7965364456176758,0.24778962135314941,1.61
qwen3-4b-cleanv2-s42,<TRAIN_ROOT>/qwen3-4b-cleanv2-s42/checkpoint-417,d27b815f15791d6b6116d6ca,149,2,mid,10,27,-0.9793187379837036,-2.3648529052734375,-0.6883450746536255,-2.3939285278320312,-0.40958893299102783,-2.4930953979492188,0.3200492858886719,0.2909736633300781,0.02907562255859375,1.3855341672897339,1.7055834531784058,0.37792301177978516,0.66
qwen3-4b-cleanv2-s42,<TRAIN_ROOT>/qwen3-4b-cleanv2-s42/checkpoint-417,da059ac4cf722b5bbe2d1cf5,149,4,early,5,27,-1.1125235557556152,-2.5279364585876465,-1.0197803974151611,-2.409081220626831,-0.28959983587265015,-2.45198917388916,-0.026112079620361328,0.0927431583404541,-0.11885523796081543,1.4154129028320312,1.38930082321167,0.7730885148048401,0.69
qwen3-4b-cleanv2-s42,<TRAIN_ROOT>/qwen3-4b-cleanv2-s42/checkpoint-417,4462be88e0797c826137614c,149,8,late,26,27,-1.681558609008789,-0.6408882141113281,-1.052250862121582,-0.6380209922790527,-0.1259807050228119,-0.8456859588623047,0.6264405250549316,0.629307746887207,-0.0028672218322753906,-1.040670394897461,-0.4142298698425293,1.133935123682022,0.85
qwen3-4b-cleanv2-s42,<TRAIN_ROOT>/qwen3-4b-cleanv2-s42/checkpoint-417,ebde3f007a1bb48bdaa634d3,697,1,mid,30,50,-1.867774486541748,-0.6615502238273621,-1.7032016515731812,-0.6810016632080078,-1.275712251663208,-0.7044997215270996,0.18402427434921265,0.1645728349685669,0.019451439380645752,-1.206224262714386,-1.0221999883651733,0.45098745822906494,0.82
qwen3-4b-cleanv2-s42,<TRAIN_ROOT>/qwen3-4b-cleanv2-s42/checkpoint-417,63c451262eab3a7c2048b027,697,2,early,12,50,-1.2443304061889648,-1.760412335395813,-0.8013112545013428,-1.654394507408142,-0.5289559364318848,-1.7058079242706299,0.33700132369995117,0.44301915168762207,-0.1060178279876709,0.5160819292068481,0.8530832529067993,0.3237687349319458,0.65
qwen3-4b-cleanv2-s42,<TRAIN_ROOT>/qwen3-4b-cleanv2-s42/checkpoint-417,f0673df68f2f94ee70c8b9d4,697,4,late,38,50,-1.5240522623062134,-0.01722860336303711,-1.0751289129257202,-0.16776442527770996,-0.07496888935565948,-0.5506918430328369,0.599459171295166,0.44892334938049316,0.15053582191467285,-1.5068236589431763,-0.9073644876480103,1.3830874413251877,0.93
qwen3-4b-cleanv2-s42,<TRAIN_ROOT>/qwen3-4b-cleanv2-s42/checkpoint-417,38ed0fa9d3d0d75b0179fcb8,697,8,mid,19,50,-2.338913917541504,-0.3939516544342041,-2.493070125579834,-0.3581015467643738,-1.22674560546875,-0.3613113760948181,-0.1900063157081604,-0.15415620803833008,-0.03585010766983032,-1.9449622631072998,-2.13496857881546,1.2695343494415283,0.8
