condition,what_is_manipulated,continuous_pattern_repetition,stable_token_orbit,hit_context_limit,entity_pair_f1,out_of_candidate_blocks,episodes_per_response,per_episode_capture_hazard,gap_stop_hazard,tag
4B cleaned s42,reference (entity-constraint cleaned),0.05515370705244123,0.00599005424954792,0.011415009041591321,0.3389,0.027345255790861518,3.694620253164557,0.014928112572652186,0.15153874098292594,qwen3-4b-cleanv2-s42
OBR 24.3% s42,24.3% one-for-one target replacement,0.0839737793851718,0.012545207956600362,0.01955244122965642,0.3074,0.18614291079550987,3.902124773960217,0.021520013902566183,0.1359007081550434,qwen3-4b-obr-s42
ISC-A,input edited so a target loses candidate support,0.038765822784810125,0.004294755877034358,0.004972875226039783,0.3329,0.04867821591282366,4.254407775768535,0.00911191987886194,0.12776310301682192,qwen3-4b-isc-a-s42
ISC-E,input edited so a target loses literal support,0.04046112115732369,0.004407775768535262,0.008815551537070525,0.3339,0.023565497564908503,4.233838155515371,0.009556605536424548,0.13067891781521185,qwen3-4b-isc-e-s42
ISC-AE,input edited on both axes,0.04486889692585895,0.0030515370705244123,0.005085895117540687,0.3328,0.02787532485315639,4.5782097649186255,0.009800533228004345,0.11560794586334862,qwen3-4b-isc-ae-s42
BenignInput,input edited without changing support status,0.04792043399638336,0.005198915009041591,0.008250452079566003,0.3379,0.026258124031609462,3.5619349005424956,0.013453483944663029,0.15703893881044073,qwen3-4b-benign-input-s42
GenericNoise,relation labels swapped within the record; clauses of the original description reordered,0.057414104882459314,0.008476491862567812,0.012545207956600362,0.3345,0.028740463294991435,5.0913200723327305,0.01127686023796839,0.10091798044302534,qwen3-4b-generic-noise-s42
keep4-A,raw entries whose endpoints are out of candidate only,0.20467902350813744,0.04238245931283906,0.07900090415913201,0.3024,0.22648179287026024,6.5965189873417724,0.03102833841620121,0.06518397540589874,qwen3-4b-keep4a-s42
keep4-AE,raw entries out of candidate and out of text,0.1385623869801085,0.025768535262206148,0.03469710669077758,0.3264,0.15027596456310424,4.308657323688969,0.03215906408205021,0.1135856425516087,qwen3-4b-keep4ae-s42
4B raw s42,"raw data, nothing removed",0.32301084990958406,0.07041139240506329,0.21055605786618445,0.2913,0.27110438095038486,6.657662748643761,0.04851715415824944,0.05548521516147127,qwen3-4b-keep4-s42
