metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,contrast,m0_tag,m1_tag
semantic_capture_rate,0.05515370705244123,0.0839737793851718,0.028820072332730567,0.021021699819168176,0.03673146473779386,1106,8848,8848,m1_higher,OBR 24.3% s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-obr-s42
stable_orbit_rate,0.00599005424954792,0.012545207956600362,0.006555153707052442,0.0036166365280289334,0.009606690777576851,1106,8848,8848,m1_higher,OBR 24.3% s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-obr-s42
hit_max_rate,0.011415009041591321,0.01955244122965642,0.008137432188065098,0.003842676311030741,0.012319168173598554,1106,8848,8848,m1_higher,OBR 24.3% s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-obr-s42
runaway_any_rate,0.010962929475587703,0.020004520795660036,0.009041591320072333,0.004972875226039782,0.01299728752260398,1106,8848,8848,m1_higher,OBR 24.3% s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-obr-s42
json_list_complete_rate,0.9873417721518988,0.9786392405063291,-0.008702531645569667,-0.012997287522603984,-0.0042947558770343175,1106,8848,8848,m1_lower,OBR 24.3% s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-obr-s42
gen_tokens_mean,4733.512658227848,4835.14681283906,101.63415461121167,-9.19593976039837,215.71332504520754,1106,8848,8848,interval_covers_zero,OBR 24.3% s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-obr-s42
n_blocks_mean,80.91478300180832,82.55673598553345,1.6419529837251332,-0.284858160036174,3.5405600135623834,1106,8848,8848,interval_covers_zero,OBR 24.3% s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-obr-s42
out_of_candidate_block_rate,0.027345255790861518,0.18614291079550987,0.15879765500464835,0.14843483922950243,0.1693474662446843,1106,8848,8848,m1_higher,OBR 24.3% s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-obr-s42
out_of_text_endpoint_rate,0.011093495245966308,0.07702864985417739,0.06593515460821107,0.058317379226601185,0.07367348611919283,1106,8848,8848,m1_higher,OBR 24.3% s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-obr-s42
strict_f1,0.09074541474238673,0.08324020624118503,-0.0075052085012017045,-0.009300100628532175,-0.005584777671346056,1106,8848,8848,m1_lower,OBR 24.3% s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-obr-s42
