purpose,metric,m0,m1,diff,ci_low,ci_high,n_prompts,direction,m0_tag,m1_tag
SFT on cleaned data,gain_motif,1.5498278410034392,0.3185285918211065,-1.2312992491823327,-1.333909397951914,-1.1366917894204813,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42
SFT on cleaned data,gain_copy,1.5534880749396507,0.29494681002688594,-1.2585412649127647,-1.3595190145989022,-1.1630013430069766,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42
SFT on cleaned data,gain_recovery,-0.0036602339362114544,0.023581781794220547,0.027242015730432,-0.0024392370665924186,0.0547619138885573,128,interval_covers_zero,qwen3-4b-notrain,qwen3-4b-cleanv2-s42
SFT on cleaned data,margin_c1,-0.9388161433266238,-0.5922989273189359,0.3465172160076879,0.25207976159957035,0.4512391139713657,128,m1_higher,qwen3-4b-notrain,qwen3-4b-cleanv2-s42
SFT on cleaned data,margin_c2,0.6110116976768154,-0.27377033549782936,-0.8847820331746448,-0.9664088701433208,-0.8052490770039238,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42
SFT on cleaned data,gain_second,0.698930710019666,0.5360876318227383,-0.16284307819692767,-0.202037932609426,-0.12736526344141055,128,m1_lower,qwen3-4b-notrain,qwen3-4b-cleanv2-s42
raw minus cleaned,gain_motif,0.3185285918211065,0.4054821159452331,0.0869535241241266,0.07354693083238609,0.10118962289358499,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
raw minus cleaned,gain_copy,0.29494681002688594,0.3783014082509908,0.08335459822410485,0.07043047753213613,0.09722712244565627,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
raw minus cleaned,gain_recovery,0.023581781794220547,0.0271807076942423,0.0035989259000217544,-0.0010998589597136287,0.008303590589101259,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
raw minus cleaned,margin_c1,-0.5922989273189359,-0.5685989936914666,0.02369993362746925,0.009496301365762605,0.03806809346211394,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
raw minus cleaned,margin_c2,-0.27377033549782936,-0.1631168777462335,0.11065345775159585,0.09629181161361658,0.12572795312200924,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
raw minus cleaned,gain_second,0.5360876318227383,0.5104377816683154,-0.025649850154422893,-0.03861027444863794,-0.012439592099178757,128,m1_lower,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
OBR 15% minus cleaned,gain_motif,0.3185285918211065,0.3803509353214167,0.06182234350031024,0.046739818384004296,0.0773128164744005,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42
OBR 15% minus cleaned,gain_copy,0.29494681002688594,0.3529746638814686,0.058027853854582645,0.042856318219855895,0.07320272717770422,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42
OBR 15% minus cleaned,gain_recovery,0.023581781794220547,0.02737627143994814,0.0037944896457275945,-0.0018267732398125956,0.00910935281225953,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42
OBR 15% minus cleaned,margin_c1,-0.5922989273189359,-0.5433076082966863,0.04899131902224951,0.03241835482234308,0.06617223236757004,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42
OBR 15% minus cleaned,margin_c2,-0.27377033549782936,-0.1629566729752696,0.11081366252255975,0.09431770147455154,0.12797783527867068,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42
OBR 15% minus cleaned,gain_second,0.5360876318227383,0.5229261808981391,-0.013161450924599194,-0.027202826558095694,3.189900617143093e-05,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42
