model_tag,m,n_probes,gain_motif,gain_motif_positive_share,gain_copy,gain_copy_positive_share,gain_recovery,gain_recovery_positive_share,margin_c1,margin_c1_positive_share,margin_c2,margin_c2_positive_share,gain_second,gain_second_positive_share
qwen3-4b-cleanv2-s42,1,128,0.2699233645230379,0.90625,0.2775179718155414,0.921875,-0.007594607292503497,0.5546875,-0.6077199666010529,0.2265625,-0.337796602078015,0.328125,0.3843933532916708,0.9765625
qwen3-4b-cleanv2-s42,2,128,0.26948612146361484,0.8671875,0.24672531569376588,0.8671875,0.022760805769848957,0.671875,-0.5583437328691616,0.25,-0.2888576114055468,0.3359375,0.4985554998565931,1.0
qwen3-4b-cleanv2-s42,4,128,0.3120532696441387,0.8515625,0.29244422109331936,0.8828125,0.019609048550819352,0.6171875,-0.5228304503609706,0.2421875,-0.21077718071683194,0.3671875,0.6339415446091152,1.0
qwen3-4b-cleanv2-s42,8,128,0.4226516116536345,0.84375,0.36309973150491714,0.84375,0.05955188014871737,0.703125,-0.6803015594445583,0.25,-0.25764994779092376,0.328125,0.6274601295335742,0.9921875
qwen3-4b-cleanv2-s42,all,512,0.3185285918211065,0.8671875,0.29494681002688594,0.87890625,0.023581781794220547,0.63671875,-0.5922989273189359,0.2421875,-0.27377033549782936,0.33984375,0.5360876318227383,0.9921875
qwen3-4b-keep4-s42,1,128,0.32789239351996,0.9453125,0.33359671058133245,0.9453125,-0.0057043170613724214,0.5625,-0.5773253964493961,0.2109375,-0.24943300292943604,0.375,0.39500122476601973,0.984375
qwen3-4b-keep4-s42,2,128,0.3036536731101478,0.8828125,0.287339783157222,0.90625,0.01631388995292582,0.640625,-0.5252716911722928,0.25,-0.22161801806214498,0.34375,0.49877183436910855,1.0
qwen3-4b-keep4-s42,4,128,0.41653599616597603,0.90625,0.392270426498726,0.9296875,0.02426556966725002,0.578125,-0.5016393628172864,0.2265625,-0.08510336665131035,0.421875,0.5767127605613496,1.0
qwen3-4b-keep4-s42,8,128,0.5738464009848485,0.921875,0.49999871276668273,0.921875,0.07384768821816579,0.7109375,-0.6701595243268912,0.2578125,-0.09631312334204267,0.4296875,0.5712653069767839,0.9765625
qwen3-4b-keep4-s42,all,512,0.4054821159452331,0.9140625,0.3783014082509908,0.92578125,0.0271807076942423,0.623046875,-0.5685989936914666,0.236328125,-0.1631168777462335,0.392578125,0.5104377816683154,0.990234375
qwen3-4b-notrain,1,128,1.1838421996031343,0.9765625,1.289068995625712,0.9921875,-0.10522679602257767,0.4375,-0.9895265781213425,0.265625,0.19431562148179182,0.546875,0.556432263798115,0.9609375
qwen3-4b-notrain,2,128,1.2489904018385898,0.9921875,1.3000098033226095,0.9921875,-0.05101940148401973,0.578125,-0.8530446395951896,0.296875,0.39594576224340017,0.578125,0.7378754639901217,0.96875
qwen3-4b-notrain,4,128,1.5355385959815968,0.96875,1.5456409020262072,1.0,-0.010102306044610376,0.546875,-0.8291204703781196,0.2890625,0.7064181256034772,0.7578125,0.764034739406668,0.9765625
qwen3-4b-notrain,8,128,2.230940166590436,1.0,2.079232598784074,1.0,0.15170756780636196,0.6796875,-1.0835728852118436,0.2734375,1.1473672813785925,0.828125,0.7373803728837593,0.984375
qwen3-4b-notrain,all,512,1.5498278410034392,0.984375,1.5534880749396507,0.99609375,-0.0036602339362114544,0.560546875,-0.9388161433266238,0.28125,0.6110116976768154,0.677734375,0.698930710019666,0.97265625
qwen3-4b-obr-p15-s42,1,128,0.29990994873605814,0.9453125,0.2999548951629549,0.953125,-4.494642689678585e-05,0.5234375,-0.5565601783901002,0.2265625,-0.25665022965404205,0.3515625,0.37541525962296873,0.9921875
qwen3-4b-obr-p15-s42,2,128,0.36257251130746226,0.9296875,0.33618895011022687,0.9453125,0.026383561197235395,0.6875,-0.5132616754694936,0.265625,-0.15068916416203137,0.40625,0.482655922867707,1.0
qwen3-4b-obr-p15-s42,4,128,0.40135167340758926,0.96875,0.37187841220293194,0.953125,0.02947326120465732,0.59375,-0.4792569752344207,0.234375,-0.07790530182683142,0.4140625,0.5836550447202171,1.0
qwen3-4b-obr-p15-s42,8,128,0.45756960783455725,0.890625,0.4038763980497606,0.8828125,0.053693209784796636,0.671875,-0.6241516040927308,0.21875,-0.1665819962581736,0.3671875,0.6499784963816637,1.0
qwen3-4b-obr-p15-s42,all,512,0.3803509353214167,0.93359375,0.3529746638814686,0.93359375,0.02737627143994814,0.619140625,-0.5433076082966863,0.236328125,-0.1629566729752696,0.384765625,0.5229261808981391,0.998046875
