tag,protocol_version,n_anchors,n_cells,aci_slope,aci_ci_low,aci_ci_high,aci_delta_r1,aci_n_informative,aci_rank_gain_r1,aci_prob_gain_r1,aci_baseline_margin,aci_nsci,aci_nsci_n_qualified,eci_slope,eci_ci_low,eci_ci_high,eci_delta_r1,eci_n_informative,eci_rank_gain_r1,eci_prob_gain_r1,eci_baseline_margin,eci_nsci,eci_nsci_n_qualified,eci_slope_matched,eci_slope_matched_ci_low,eci_n_matched,eci_occurrence_gap_mean,pc,pc_ci_low,pc_stop_effect,pc_continue_effect,neutral_drift_r1_admissibility,neutral_drift_r1_evidence,empty_margin,empty_close_top1_rate,aci_slope_raw,eci_slope_raw,has_hazard,aci_hazard_slope,aci_hazard_base_rate,aci_hazard_delta_r1,eci_hazard_slope,eci_hazard_base_rate,eci_hazard_delta_r1,hazard_other_rate,hazard_noncanonical_rate,hazard_agrees,built_anchor_types,unbuilt_anchor_types,gates_passed,gates_failed,gate_fail_names
qwen3-1.7b-notrain,e2-v1.2,384,2560,1.0133171912832932,0.6543129539951578,1.4273910411622275,0.9806295399515738,118,0.01694915254237288,-0.005231737820603729,-7.300242130750606,0.887481068705167,107,0.9627851140456185,0.6164465786314525,1.3613745498199272,0.8928571428571431,119,0.025210084033613446,0.004111128557108442,-7.430972388955583,0.8782416096529461,108,1.244618395303327,0.6907778864970651,73,0.680672268907563,-1.5587167070217924,-1.775158898305086,-0.09079903147699783,-1.467917675544794,0.013619854721549732,0.08103241296518562,-1.8470982142857142,0.0390625,0.7093220338983048,0.6739495798319328,False,,,,,,,,,,evidence;admissibility;zero_answer,evidence_add,5,1,2_positive_control_direction
qwen3-4b-notrain,e2-v1.2,384,2560,1.719598583234947,1.1274940968122784,2.4055489964580867,1.7104486422668241,121,0.04132231404958678,0.03424902102081064,-5.582939787485242,1.0990468272469929,113,1.5978391356542618,1.0396008403361348,2.2227190876350535,1.463085234093638,119,-0.008403361344537815,0.00039050901275491023,-5.4006602641056425,1.0151833655896851,110,2.168571428571429,1.360785714285715,75,0.6554621848739496,-1.3621605667060213,-2.091314935064936,-0.4560212514757968,-0.9061393152302245,0.29073199527745,0.2430972388955585,2.2446986607142856,0.59375,1.2037190082644627,1.1184873949579834,False,,,,,,,,,,evidence;admissibility;zero_answer,evidence_add,4,2,1_neutral_effect_near_zero;2_positive_control_direction
qwen3-8b-notrain,e2-v1.2,384,2560,1.0470383275261324,0.7113821138211386,1.3903019744483156,0.9828687572590008,123,0.0,0.0,-8.302845528455284,0.6876774504318577,94,0.8025551684088272,0.49706736353077846,1.1271922183507552,0.7476771196283392,123,0.0,0.0,-8.299941927990709,0.4606848853071827,95,1.1113172541743974,0.6891697588126164,77,0.6585365853658537,-0.2293844367015102,-0.7143220092915219,-0.4268292682926829,0.1974448315911727,0.16840882694541198,0.206155632984901,0.10881696428571364,0.453125,0.7329268292682928,0.5617886178861788,False,,,,,,,,,,evidence;admissibility;zero_answer,evidence_add,5,1,2_positive_control_direction
qwen3-1.7b-cleanv2,e2-v1.2,384,2560,0.5106026785714286,0.33090122767857155,0.7215680803571434,0.49804687500000017,128,-0.0078125,0.0006980985679828689,-4.5689174107142865,0.48793955774886616,91,0.6043526785714292,0.3934012276785724,0.848214285714286,0.5608258928571435,128,0.0078125,0.011210331977092541,-4.570312500000001,0.5951546768409524,90,0.8357142857142865,0.5124553571428587,80,0.671875,-0.8468191964285716,-0.9654017857142859,-0.020926339285714524,-0.8258928571428572,0.1143973214285714,0.06417410714285698,-18.037109375,0.0,0.357421875,0.423046875,False,,,,,,,,,,evidence;admissibility;zero_answer,evidence_add,5,1,2_positive_control_direction
qwen3-4b-cleanv2-s123,e2-v1.2,384,2560,0.9380580357142856,0.6371930803571431,1.2935686383928569,0.8886718749999999,128,0.0234375,0.021545953674066805,-4.697265625,1.3974009181701508,78,1.106026785714286,0.7588588169642866,1.518429129464286,1.0058593750000002,128,0.015625,0.025456332219560125,-4.704241071428571,1.6730571280571314,78,1.570535714285715,1.0294419642857142,80,0.671875,-0.6696428571428577,-0.7617187500000004,0.14648437499999936,-0.8161272321428571,0.2678571428571431,0.18136160714285704,-23.78976004464286,0.0,0.6566406249999999,0.77421875,False,,,,,,,,,,evidence;admissibility;zero_answer,evidence_add,4,2,1_neutral_effect_near_zero;2_positive_control_direction
qwen3-4b-cleanv2-s42,e2-v1.2,384,2560,0.8404017857142861,0.5535435267857153,1.1914760044642854,0.7784598214285717,128,0.0234375,0.015462690058834114,-4.616350446428572,1.0727703407703402,85,0.995535714285714,0.670758928571428,1.3873046874999997,0.9082031249999996,128,0.03125,0.018249053711333865,-4.619140625,1.1576157836872116,84,1.4160714285714284,0.9178348214285706,80,0.671875,-0.7589285714285718,-0.8747209821428577,-0.011160714285714801,-0.747767857142857,0.29157366071428575,0.17717633928571466,-24.400809151785715,0.0,0.58828125,0.696875,False,,,,,,,,,,evidence;admissibility;zero_answer,evidence_add,4,2,1_neutral_effect_near_zero;2_positive_control_direction
qwen3-8b-cleanv2,e2-v1.2,384,2560,0.9190848214285714,0.611607142857143,1.276311383928571,0.9012276785714283,128,0.0234375,0.03114377449136505,-4.61216517857143,1.5772273504273469,50,1.063058035714286,0.7292829241071436,1.4587193080357144,0.9835379464285718,128,0.0078125,0.021380111080413447,-4.610770089285715,1.9183257918552006,51,1.4776785714285716,0.9767633928571439,80,0.671875,-0.28878348214285776,-0.39481026785714335,0.05161830357142799,-0.3404017857142857,0.2971540178571433,0.19252232142857106,-8.450055803571429,0.0,0.643359375,0.744140625,False,,,,,,,,,,evidence;admissibility;zero_answer,evidence_add,4,2,1_neutral_effect_near_zero;2_positive_control_direction
qwen3-4b-benign-input-s42,e2-v1.2,384,2560,0.9787946428571426,0.6768833705357143,1.3554827008928572,0.9249441964285713,128,0.015625,0.017768778464821038,-5.083705357142858,1.4234695650824678,93,1.1969866071428574,0.8359375000000007,1.6155412946428573,1.0672433035714288,128,0.0078125,0.01628993627966142,-5.0767299107142865,1.7530862374340639,92,1.6642857142857153,1.1017410714285718,80,0.671875,-0.7728794642857145,-0.8761160714285714,0.19810267857142821,-0.9709821428571428,0.38643973214285754,0.3459821428571429,-20.421316964285715,0.0,0.68515625,0.837890625,False,,,,,,,,,,evidence;admissibility;zero_answer,evidence_add,4,2,1_neutral_effect_near_zero;2_positive_control_direction
qwen3-4b-generic-noise-s42,e2-v1.2,384,2560,0.9122609673790775,0.6113610798650169,1.2233267716535434,0.8886389201349831,127,0.015748031496062992,0.009254641681475663,-7.782620922384703,1.0051274766316785,105,0.9966517857142858,0.6790736607142855,1.3677873883928577,0.9151785714285716,128,0.0078125,0.006547893226557268,-7.847377232142859,0.963219113669911,107,1.416964285714286,0.9285491071428582,80,0.671875,-0.9983127109111364,-1.1023973565804284,0.15748031496063006,-1.1557930258717661,0.3613610798650173,0.27064732142857173,-20.668247767857142,0.0,0.6385826771653543,0.6976562500000001,False,,,,,,,,,,evidence;admissibility;zero_answer,evidence_add,4,2,1_neutral_effect_near_zero;2_positive_control_direction
qwen3-4b-obr-p10-s42,e2-v1.2,384,2560,0.7779017857142858,0.5306919642857144,1.0569614955357145,0.7547433035714286,128,0.0078125,0.01030170037078134,-5.390625000000002,0.9141445591445602,90,0.879464285714286,0.6143833705357147,1.189174107142857,0.8147321428571432,128,0.0078125,0.011754460695306742,-5.390625000000002,1.0757316188085417,91,1.223214285714286,0.8294196428571435,80,0.671875,-0.7826450892857142,-0.8956473214285717,-0.06696428571428509,-0.715680803571429,0.29157366071428614,0.20786830357142902,-21.471121651785715,0.0,0.5445312499999999,0.6156250000000001,False,,,,,,,,,,evidence;admissibility;zero_answer,evidence_add,4,2,1_neutral_effect_near_zero;2_positive_control_direction
