tag,run_name,kind,size,data_variant,arm_family,seed,ckpt_step,is_final,save_mode,terminal_mode,priority,tier,mode,protocol_version,n_records,n_responses,n_skipped_too_long,semantic_capture_rate,semantic_capture_rate_ci_low,semantic_capture_rate_ci_high,semantic_capture_trigger_rate,stable_orbit_rate,stable_orbit_rate_ci_low,stable_orbit_rate_ci_high,stable_orbit_trigger_rate,runaway_any_rate,runaway_any_rate_ci_low,runaway_any_rate_ci_high,runaway_block_hitmax_rate,first_triple_reuse_rate,first_triple_reuse_rate_ci_low,first_triple_reuse_rate_ci_high,first_triple_reuse_trigger_rate,first_quad_reuse_rate,adjacent_motif_repeat_rate,quad_capture_rate,p_capture_given_reuse,p_orbit_given_capture,p_hitmax_given_orbit,capture_block_onset_median,capture_block_onset_mean,capture_block_period_median,capture_token_median,first_reuse_block_median,n_blocks_mean,n_blocks_median,legacy_loop_rate,legacy_loop_rate_ci_low,legacy_loop_rate_ci_high,legacy_loop_trigger_rate,hit_max_rate,hit_max_rate_ci_low,hit_max_rate_ci_high,rep4_mean,gzip_ratio_mean,legacy_onset_token_median,legacy_period_tokens_median,legacy_structured_alignment_rate,temporal_order_valid_rate,gen_tokens_mean,gen_tokens_median,gen_tokens_p75,gen_tokens_max,strict_precision,strict_recall,strict_f1,strict_f1_ci_low,strict_f1_ci_high,relaxed_precision,relaxed_recall,relaxed_f1,json_valid_rate,json_list_complete_rate,incomplete_tail_rate,mean_response_strict_f1,mean_pred_blocks,mean_unique_pred_triples,unique_supported_per_1k_tokens,out_of_candidate_block_rate,out_of_candidate_block_rate_exact,out_of_text_endpoint_rate,dual_conflict_rate,support_valid_block_precision,unsupported_nonempty_rate,empty_prediction_rate,empty_gold_accuracy,episodes_per_response,reuse_blocks_per_response,per_episode_capture_hazard,gap_stop_hazard,in_episode_stop_hazard,responses_with_any_episode_rate,captured_episode_ordinal_mean,distance_last_new_triple_blocks_mean,capture_is_first_episode_after_last_new_rate,episode_errors,model_path,tokenizer_path,tokenizer_is_fallback,eval_data_sha256,prompt_rendered_sha256,chat_prefix_ok,gen_tokens_mismatch_rate,generation_minutes,analysis_minutes,vllm_version,analyzed_at,responses_path,event_rows_path
qwen3-1.7b-notrain,qwen3-1.7b-notrain,reference,1.7B,none,reference,,,True,none,,0,0,nothink,e1-v1.0,1106,8848,0,0.48519439421338156,0.4655261075949367,0.505877034358047,0.8553345388788427,0.17585895117540687,0.1633137432188065,0.18908227848101267,0.5596745027124774,0.4434900542495479,0.4234855334538879,0.46428853978300183,0.4403254972875226,0.7796112115732369,0.7637827757685353,0.7944196428571428,0.9819168173598554,0.7529385171790235,0.5574141048824593,0.4803345388788427,0.6223543055958248,0.3559282552993245,1.0,21.0,25.8746797111577,4.0,2535.0,23.0,220.78266274864376,79.0,0.17585895117540687,0.1633137432188065,0.18908227848101267,0.5596745027124774,0.4509493670886076,0.4308290009041591,0.4719710669077758,0.8092772840189874,0.10270652995027124,1211.0,74.0,0.9820051413881749,1.0,14592.978978300182,5434.0,28582.0,31188.0,0.0296,0.0118,0.0168,0.014787361059778521,0.018880883510537873,0.1865,0.0726,0.1045,0.5374095840867993,0.5433996383363472,0.4429249547920434,0.014018444846292949,25.334538878842675,21.51130198915009,1.3167963197392711,0.10505442541042113,0.1050901142041399,0.028894539614561027,0.028894539614561027,0.8949455745895789,0.0061030741410488245,0.0,,2.5172920433996384,186.05515370705245,0.1927445786378126,0.10277710891724857,0.0853948727158443,0.7796112115732369,3.273934311670161,3.051479152108083,0.627766130910785,0,<MODEL_ROOT>/Qwen3-1.7B,<MODEL_ROOT>/Qwen3-1.7B,False,aabb914172c00a4bcd094511f6a01559c3a89d531997f8e99928cc214e562668,57542d0159a5931d7f104e9d898700b15d89f60535efb21b26956d09ddbb2548,True,0.6479430379746836,1386.15,25.12,0.26.0,2026-09-01 18:33:26,<EVAL_ROOT>/responses/qwen3-1.7b-notrain_nothink_n8.jsonl,<EVAL_ROOT>/events/qwen3-1.7b-notrain_event_rows.jsonl
qwen3-4b-notrain,qwen3-4b-notrain,reference,4B,none,reference,,,True,none,,0,0,nothink,e1-v1.0,1106,8848,0,0.012884267631103074,0.009719710669077758,0.016161844484629293,0.07323688969258589,0.0003390596745027125,0.0,0.0009041591320072332,0.0018083182640144665,0.0003390596745027125,0.0,0.0009041591320072332,0.0002260397830018083,0.29464285714285715,0.2787070524412297,0.31035544755877037,0.7522603978300181,0.23338607594936708,0.038765822784810125,0.009041591320072333,0.04372842347525892,0.017543859649122806,1.0,28.5,32.578947368421055,1.0,2219.0,35.0,45.15585443037975,41.0,0.0003390596745027125,0.0,0.0009041591320072332,0.0018083182640144665,0.0003390596745027125,0.0,0.0009041591320072332,0.602406044755877,0.20290635951627486,614.0,61.0,0.6666666666666666,1.0,3024.0301763110306,2719.0,3561.25,28657.0,0.0522,0.0393,0.0449,0.04139280185623334,0.048131076408970554,0.2731,0.2021,0.2323,0.9183996383363472,0.9533227848101266,0.04645117540687161,0.04319338833634719,42.20354882459313,40.77588155515371,11.947623128318268,0.11384859285999298,0.11385394880254514,0.017784407244447895,0.017784407244447895,0.8861514071400071,0.005877034358047016,0.0,,0.6482820976491862,1.5948236889692586,0.0198744769874477,0.5601472053975313,0.24877963737796374,0.29464285714285715,2.0964912280701755,1.5701754385964912,0.7631578947368421,0,<MODEL_ROOT>/Qwen3-4B,<MODEL_ROOT>/Qwen3-4B,False,aabb914172c00a4bcd094511f6a01559c3a89d531997f8e99928cc214e562668,57542d0159a5931d7f104e9d898700b15d89f60535efb21b26956d09ddbb2548,True,0.9349005424954792,131.65,2.1,0.26.0,2026-08-31 21:16:09,<EVAL_ROOT>/responses/qwen3-4b-notrain_nothink_n8.jsonl,<EVAL_ROOT>/events/qwen3-4b-notrain_event_rows.jsonl
qwen3-8b-notrain,qwen3-8b-notrain,reference,8B,none,reference,,,True,none,,0,0,nothink,e1-v1.0,1106,8848,0,0.10273508137432188,0.09244744575045208,0.11347479656419528,0.3770343580470163,0.010171790235081375,0.0076853526220614825,0.012774073236889678,0.06329113924050633,0.07538426763110308,0.06634267631103075,0.08476491862567812,0.07470614828209765,0.3796338155515371,0.3616636528028933,0.39749095840867993,0.8010849909584087,0.32165461121157324,0.15879294755877035,0.09877938517179023,0.2706162548377493,0.0924092409240924,1.0,38.0,44.79207920792079,8.0,5008.0,43.0,78.20795660036167,45.0,0.010171790235081375,0.0076853526220614825,0.012774073236889678,0.06329113924050633,0.07933996383363472,0.07006950723327306,0.08917269439421338,0.5899632081826401,0.2114356783453888,2897.0,92.5,0.9333333333333333,1.0,5514.09414556962,3229.5,4807.5,30006.0,0.0473,0.036,0.0409,0.037845177098403356,0.043932073738250185,0.2609,0.1944,0.2228,0.8638110307414105,0.8761301989150091,0.12149638336347197,0.038544993218806514,44.51593580470163,41.201627486437616,6.630346101623316,0.11314191993947349,0.1131444588031289,0.0244771845017607,0.0244771845017607,0.8868580800605265,0.003616636528028933,0.0,,1.0999095840867992,30.92732820976492,0.09340320591861899,0.39317461304158635,0.16173448417591452,0.3796338155515371,3.3245324532453244,3.1045104510451047,0.5731573157315731,0,<MODEL_ROOT>/Qwen3-8B,<MODEL_ROOT>/Qwen3-8B,False,aabb914172c00a4bcd094511f6a01559c3a89d531997f8e99928cc214e562668,57542d0159a5931d7f104e9d898700b15d89f60535efb21b26956d09ddbb2548,True,0.8694620253164557,634.01,6.07,0.26.0,2026-09-01 05:42:48,<EVAL_ROOT>/responses/qwen3-8b-notrain_nothink_n8.jsonl,<EVAL_ROOT>/events/qwen3-8b-notrain_event_rows.jsonl
qwen3-1.7b-keep4-s42,qwen3-1.7b-keep4-s42,trained,1.7B,keep4,other,42,417,True,final_only,,1,1,nothink,e1-v1.0,1106,8848,0,0.6057866184448463,0.5863471971066908,0.6252260397830018,0.9294755877034359,0.22875226039783003,0.2154159132007233,0.24118444846292947,0.7025316455696202,0.5417043399638336,0.5220388788426763,0.5618218806509946,0.5409132007233273,0.9821428571428571,0.9780741410488246,0.985872513562387,1.0,0.8684448462929476,0.669755877034358,0.5974231464737794,0.616800920598389,0.3763059701492537,1.0,66.0,74.08787313432836,4.0,4705.5,36.0,317.6117766726944,408.0,0.22875226039783003,0.2154159132007233,0.24118444846292947,0.7025316455696202,0.546112115732369,0.5266698688969259,0.5661166365280289,0.7992868401898734,0.10258183804249547,3598.0,106.0,0.9965415019762845,1.0,18020.635736889693,27248.0,28726.0,30414.0,0.0732,0.0406,0.0522,0.04777482686016506,0.0573441519534538,0.2842,0.1427,0.19,0.45174050632911394,0.4525316455696203,0.5391048824593129,0.036541342676311026,41.47830018083182,30.043173598553345,1.386025294928706,0.16988283378746594,0.17008446866485014,0.05719346049046321,0.05719346049046321,0.8301171662125341,0.000678119349005425,0.0,,10.083860759493671,253.4126356238698,0.06007486942682298,0.015421612319639942,0.022953979960099527,0.9821428571428571,10.338619402985074,9.19813432835821,0.3792910447761194,0,<TRAIN_ROOT>/qwen3-1.7b-keep4-s42/checkpoint-417,<TRAIN_ROOT>/qwen3-1.7b-keep4-s42/checkpoint-417,False,aabb914172c00a4bcd094511f6a01559c3a89d531997f8e99928cc214e562668,57542d0159a5931d7f104e9d898700b15d89f60535efb21b26956d09ddbb2548,True,0.6351717902350814,1694.82,31.82,0.26.0,2026-09-09 19:18:34,<EVAL_ROOT>/responses/qwen3-1.7b-keep4-s42_nothink_n8.jsonl,<EVAL_ROOT>/events/qwen3-1.7b-keep4-s42_event_rows.jsonl
qwen3-4b-cleanv2-s123,qwen3-4b-cleanv2-s123,trained,4B,cleanv2,stage,123,417,True,final_only,,1,1,nothink,e1-v1.0,1106,8848,0,0.04396473779385172,0.03774864376130199,0.05018083182640145,0.20976491862567812,0.005085895117540687,0.0033905967450271247,0.0068942133815551535,0.0325497287522604,0.008928571428571428,0.006442133815551537,0.01164104882459313,0.008928571428571428,0.7328209764918626,0.7154159132007233,0.7491014918625678,0.9801084990958409,0.33860759493670883,0.09855334538878843,0.04012206148282098,0.05999383096853794,0.11568123393316196,1.0,57.0,63.91002570694087,4.0,4227.0,49.0,79.03537522603979,69.0,0.005085895117540687,0.0033905967450271247,0.0068942133815551535,0.0325497287522604,0.00949367088607595,0.0068942133815551535,0.012208973779385157,0.5581040265596745,0.2168284918625678,2879.0,59.0,1.0,1.0,4638.57075045208,4070.5,5450.0,29761.0,0.0835,0.1033,0.0924,0.08717770522045656,0.0974910306467716,0.3144,0.3677,0.3389,0.9885849909584087,0.9892631103074141,0.010284810126582278,0.09100466772151898,74.31916817359856,67.01672694394213,14.086276439148762,0.02503588938769055,0.025076949280387364,0.00886893682251177,0.00886893682251177,0.9749641106123095,0.0,0.0,,3.4853074141048825,11.15630650994575,0.012614307023801802,0.15966867387809597,0.08418185355729943,0.7328209764918626,4.907455012853471,3.8817480719794344,0.5886889460154242,0,<TRAIN_ROOT>/qwen3-4b-cleanv2-s123/checkpoint-417,<TRAIN_ROOT>/qwen3-4b-cleanv2-s123/checkpoint-417,False,aabb914172c00a4bcd094511f6a01559c3a89d531997f8e99928cc214e562668,57542d0159a5931d7f104e9d898700b15d89f60535efb21b26956d09ddbb2548,True,0.8909358047016275,291.33,4.29,0.26.0,2026-09-01 04:46:50,<EVAL_ROOT>/responses/qwen3-4b-cleanv2-s123_nothink_n8.jsonl,<EVAL_ROOT>/events/qwen3-4b-cleanv2-s123_event_rows.jsonl
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42,trained,4B,cleanv2,stage,42,417,True,trajectory,,1,1,nothink,e1-v1.0,1106,8848,0,0.05515370705244123,0.047807414104882456,0.06329113924050633,0.22694394213381555,0.00599005424954792,0.004181735985533454,0.0081374321880651,0.0379746835443038,0.010962929475587703,0.008363471971066908,0.013901446654611212,0.010510849909584086,0.7249095840867993,0.707617540687161,0.7408482142857142,0.972875226039783,0.34663200723327303,0.11030741410488246,0.049276672694394216,0.07608356719675709,0.10655737704918032,0.9433962264150944,58.0,65.43852459016394,4.0,4422.0,48.0,80.91478300180832,70.0,0.00599005424954792,0.004181735985533454,0.0081374321880651,0.0379746835443038,0.011415009041591321,0.00870253164556962,0.014466546112115732,0.5619594091320073,0.2151929309448463,2921.0,60.0,0.9811320754716981,1.0,4733.512658227848,4117.5,5552.5,29693.0,0.0819,0.1017,0.0907,0.08585287042412075,0.09561556600571841,0.3141,0.3679,0.3389,0.9868896925858951,0.9882459312839059,0.011301989150090416,0.08917257007233273,75.3500226039783,67.3243670886076,13.854575651853345,0.027345255790861518,0.02740075326572641,0.011093495245966308,0.011093495245966308,0.9726547442091384,0.0,0.0,,3.694620253164557,12.575384267631103,0.014928112572652186,0.15153874098292594,0.07684307127561946,0.7249095840867993,5.870901639344262,4.625,0.514344262295082,0,<TRAIN_ROOT>/qwen3-4b-cleanv2-s42/checkpoint-417,<TRAIN_ROOT>/qwen3-4b-cleanv2-s42/checkpoint-417,False,aabb914172c00a4bcd094511f6a01559c3a89d531997f8e99928cc214e562668,57542d0159a5931d7f104e9d898700b15d89f60535efb21b26956d09ddbb2548,True,0.8878842676311031,314.01,4.67,0.26.0,2026-09-01 00:21:47,<EVAL_ROOT>/responses/qwen3-4b-cleanv2-s42_nothink_n8.jsonl,<EVAL_ROOT>/events/qwen3-4b-cleanv2-s42_event_rows.jsonl
qwen3-4b-benign-input-s42,qwen3-4b-benign-input-s42,trained,4B,benign_input,controlled,42,417,True,final_only,,1,1,nothink,e1-v1.0,1106,8848,0,0.04792043399638336,0.041478300180831824,0.05458860759493671,0.22423146473779385,0.005198915009041591,0.003729656419529837,0.0068942133815551535,0.03616636528028933,0.008363471971066908,0.006329113924050633,0.010623869801084991,0.0076853526220614825,0.7303345388788427,0.7130424954792043,0.7462703435804702,0.9773960216998192,0.34335443037974683,0.10409132007233272,0.04328661844484629,0.06561436087898484,0.10141509433962265,0.9347826086956522,58.0,64.7877358490566,4.0,4301.5,49.0,79.65506329113924,70.0,0.005198915009041591,0.003729656419529837,0.0068942133815551535,0.03616636528028933,0.008250452079566003,0.006216094032549729,0.010397830018083183,0.5601360167269439,0.21586079362567812,3044.5,59.0,0.9347826086956522,1.0,4677.211686256781,4123.0,5580.5,29733.0,0.0811,0.1017,0.0903,0.08516088737698,0.09505648243456158,0.3116,0.369,0.3379,0.9888110307414105,0.9901672694394213,0.009267631103074141,0.08958252712477396,75.71496383363473,67.94642857142857,14.15700364554207,0.026258124031609462,0.026313354012234186,0.01083403241552052,0.01083403241552052,0.9737418759683906,0.0,0.0,,3.5619349005424956,11.009154611211573,0.013453483944663029,0.15703893881044073,0.08081609341286965,0.7303345388788427,5.040094339622642,3.875,0.5849056603773585,0,<TRAIN_ROOT>/qwen3-4b-benign-input-s42/checkpoint-417,<TRAIN_ROOT>/qwen3-4b-benign-input-s42/checkpoint-417,False,aabb914172c00a4bcd094511f6a01559c3a89d531997f8e99928cc214e562668,57542d0159a5931d7f104e9d898700b15d89f60535efb21b26956d09ddbb2548,True,0.8947784810126582,298.6,3.86,0.26.0,2026-09-01 00:06:49,<EVAL_ROOT>/responses/qwen3-4b-benign-input-s42_nothink_n8.jsonl,<EVAL_ROOT>/events/qwen3-4b-benign-input-s42_event_rows.jsonl
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42,trained,4B,generic_noise,controlled,42,417,True,trajectory,,1,1,nothink,e1-v1.0,1106,8848,0,0.057414104882459314,0.05018083182640145,0.06476322332730558,0.2513562386980108,0.008476491862567812,0.006216094032549729,0.010962929475587703,0.054249547920433995,0.012206148282097649,0.009267631103074141,0.015257685352622062,0.01198010849909584,0.8460669077757685,0.8326147151898735,0.8587251356238698,0.9909584086799277,0.4358047016274864,0.1253390596745027,0.05074593128390597,0.06786000534330751,0.14763779527559054,0.9733333333333334,58.0,64.87007874015748,4.0,4422.0,50.0,91.20445298372513,81.0,0.008476491862567812,0.006216094032549729,0.010962929475587703,0.054249547920433995,0.012545207956600362,0.009606690777576853,0.015596745027124773,0.5870676941681736,0.2015916184448463,3210.0,57.0,1.0,1.0,5323.119462025316,4708.0,6256.5,29614.0,0.0758,0.1042,0.0877,0.08308752269016498,0.0923252178012964,0.3002,0.3778,0.3345,0.9856464737793852,0.9865506329113924,0.012997287522603979,0.08554246157323689,84.97197106690777,74.49830470162749,13.605501828373667,0.028740463294991435,0.028821598442205172,0.01212903946626374,0.01212903946626374,0.9712595367050085,0.0,0.0,,5.0913200723327305,15.655176311030742,0.01127686023796839,0.10091798044302534,0.07276682649618185,0.8460669077757685,5.248031496062992,3.5570866141732282,0.5767716535433071,0,<TRAIN_ROOT>/qwen3-4b-generic-noise-s42/checkpoint-417,<TRAIN_ROOT>/qwen3-4b-generic-noise-s42/checkpoint-417,False,aabb914172c00a4bcd094511f6a01559c3a89d531997f8e99928cc214e562668,57542d0159a5931d7f104e9d898700b15d89f60535efb21b26956d09ddbb2548,True,0.8812160940325497,355.53,5.06,0.26.0,2026-09-01 01:04:41,<EVAL_ROOT>/responses/qwen3-4b-generic-noise-s42_nothink_n8.jsonl,<EVAL_ROOT>/events/qwen3-4b-generic-noise-s42_event_rows.jsonl
qwen3-4b-obr-p10-s42,qwen3-4b-obr-p10-s42,trained,4B,obr_p10,controlled,42,417,True,final_only,,1,1,nothink,e1-v1.0,1106,8848,0,0.07368896925858952,0.06531984629294756,0.08261754068716094,0.29475587703435807,0.010736889692585894,0.008024412296564195,0.013678232368896912,0.06600361663652803,0.013110307414104882,0.009945750452079566,0.016616749547920417,0.01277124773960217,0.7644665461121157,0.7472875226039783,0.7797270569620253,0.9828209764918626,0.39545660036166363,0.1383363471971067,0.07007233273056059,0.09639266706091071,0.1441717791411043,0.9789473684210527,61.0,67.18098159509202,4.0,4449.0,48.0,86.0119801084991,73.0,0.010736889692585894,0.008024412296564195,0.013678232368896912,0.06600361663652803,0.014014466546112115,0.010734064195298373,0.01774694846292946,0.571909084425859,0.21002130176311032,3783.0,61.0,0.9894736842105263,1.0,5038.816681735985,4312.5,5910.5,29955.0,0.0784,0.1002,0.088,0.08303619643753363,0.0929029374759694,0.2985,0.3587,0.3258,0.9831600361663653,0.9854204339963833,0.013562386980108499,0.08677830018083182,79.22332730560579,69.2764466546112,12.441230994909546,0.10096181280743201,0.10101887675328973,0.038869106720991545,0.038869106720991545,0.899038187192568,0.00011301989150090416,0.0,,4.203661844484629,15.27237793851718,0.01752970909286444,0.12985008302734055,0.07079098779373018,0.7644665461121157,6.131901840490798,4.0184049079754605,0.50920245398773,0,<TRAIN_ROOT>/qwen3-4b-obr-p10-s42/checkpoint-417,<TRAIN_ROOT>/qwen3-4b-obr-p10-s42/checkpoint-417,False,aabb914172c00a4bcd094511f6a01559c3a89d531997f8e99928cc214e562668,57542d0159a5931d7f104e9d898700b15d89f60535efb21b26956d09ddbb2548,True,0.8867540687160941,349.55,4.51,0.26.0,2026-09-02 15:32:49,<EVAL_ROOT>/responses/qwen3-4b-obr-p10-s42_nothink_n8.jsonl,<EVAL_ROOT>/events/qwen3-4b-obr-p10-s42_event_rows.jsonl
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123,trained,4B,obr_p15,controlled,123,417,True,final_only,,1,1,nothink,e1-v1.0,1106,8848,0,0.09471066907775769,0.08476491862567812,0.10544755877034358,0.3399638336347197,0.013110307414104882,0.01005877034358047,0.01661392405063291,0.07142857142857142,0.017857142857142856,0.014014466546112115,0.021925858951175405,0.016387884267631103,0.7583634719710669,0.7411844484629295,0.7743021021699819,0.9819168173598554,0.40291591320072334,0.16681735985533455,0.08804249547920434,0.12488822652757078,0.1360381861575179,0.9051724137931034,60.0,66.28400954653938,5.0,4645.0,47.0,87.59448462929475,73.0,0.013110307414104882,0.01005877034358047,0.01661392405063291,0.07142857142857142,0.017179023508137433,0.01333634719710669,0.02113471971066908,0.5750317029837252,0.20853350011301988,3509.5,60.0,0.9827586206896551,1.0,5137.156984629295,4262.5,5846.25,29888.0,0.0784,0.0978,0.087,0.08208919624139355,0.09189216516323591,0.2979,0.3511,0.3224,0.9808996383363472,0.9823688969258589,0.017518083182640146,0.08526416139240506,79.48632459312839,67.63189421338156,11.514520368204343,0.1403664180749188,0.14040765254978352,0.05893117397393697,0.05893117397393697,0.8596335819250812,0.0003390596745027125,0.0,,4.0530063291139244,18.654724231464737,0.02336800423858788,0.13240772096173384,0.07052229441454505,0.7583634719710669,6.028639618138425,4.301909307875895,0.5023866348448688,0,<TRAIN_ROOT>/qwen3-4b-obr-p15-s123/checkpoint-417,<TRAIN_ROOT>/qwen3-4b-obr-p15-s123/checkpoint-417,False,aabb914172c00a4bcd094511f6a01559c3a89d531997f8e99928cc214e562668,57542d0159a5931d7f104e9d898700b15d89f60535efb21b26956d09ddbb2548,True,0.8889014466546112,365.15,4.69,0.26.0,2026-09-08 20:42:07,<EVAL_ROOT>/responses/qwen3-4b-obr-p15-s123_nothink_n8.jsonl,<EVAL_ROOT>/events/qwen3-4b-obr-p15-s123_event_rows.jsonl
