metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,contrast,m0_tag,m1_tag
semantic_capture_rate,0.25949367088607594,0.6057866184448463,0.3462929475587703,0.3308063969258589,0.3617766726943942,1106,8848,8848,m1_higher,1.7B s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42
stable_orbit_rate,0.06498643761301989,0.22875226039783003,0.16376582278481014,0.15167269439421338,0.1762008363471971,1106,8848,8848,m1_higher,1.7B s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42
hit_max_rate,0.18026672694394213,0.546112115732369,0.3658453887884268,0.35013279837251354,0.38178119349005424,1106,8848,8848,m1_higher,1.7B s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42
runaway_any_rate,0.17992766726943943,0.5417043399638336,0.3617766726943942,0.3459538878842676,0.37782549728752257,1106,8848,8848,m1_higher,1.7B s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42
json_list_complete_rate,0.8176989150090416,0.4518535262206148,-0.36584538878842676,-0.3816681735985533,-0.3500169529837252,1106,8848,8848,m1_lower,1.7B s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42
gen_tokens_mean,8684.531871609403,18020.635736889693,9336.10386528029,8961.765107933996,9710.834321315551,1106,8848,8848,m1_higher,1.7B s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42
n_blocks_mean,150.90382007233273,317.6117766726944,166.70795660036168,159.56728639240507,173.7434081148282,1106,8848,8848,m1_higher,1.7B s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42
out_of_candidate_block_rate,0.040898284749377886,0.16988283378746594,0.12898454903808804,0.11712019940572362,0.14111160615178825,1106,8848,8848,m1_higher,1.7B s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42
out_of_text_endpoint_rate,0.01702475115535016,0.05719346049046321,0.04016870933511305,0.03351048394174857,0.047623050665022884,1106,8848,8848,m1_higher,1.7B s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42
strict_f1,0.06509728106892936,0.05224098842278953,-0.012856292646139827,-0.01578145427185027,-0.009276016394603974,1106,8848,8848,m1_lower,1.7B s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42
relaxed_f1,0.25768207421501127,0.19002093083939883,-0.06766114337561244,-0.07462166757367944,-0.060658758077861814,1106,8848,8848,m1_lower,1.7B s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42
semantic_capture_rate,0.05515370705244123,0.32301084990958406,0.26785714285714285,0.2512403933092224,0.2840218128390597,1106,8848,8848,m1_higher,4B s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
stable_orbit_rate,0.00599005424954792,0.07041139240506329,0.06442133815551537,0.05764014466546113,0.07109233725135622,1106,8848,8848,m1_higher,4B s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
hit_max_rate,0.011415009041591321,0.21055605786618445,0.19914104882459313,0.18433261754068717,0.2147377938517179,1106,8848,8848,m1_higher,4B s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
runaway_any_rate,0.010962929475587703,0.20976491862567812,0.19880198915009042,0.18388336347197107,0.21428571428571427,1106,8848,8848,m1_higher,4B s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
json_list_complete_rate,0.9873417721518988,0.7868444846292948,-0.20049728752260398,-0.2158708182640145,-0.185688856238698,1106,8848,8848,m1_lower,4B s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
gen_tokens_mean,4733.512658227848,11000.774525316456,6267.261867088608,5935.103023282098,6622.20880142405,1106,8848,8848,m1_higher,4B s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
n_blocks_mean,80.91478300180832,192.67246835443038,111.75768535262206,105.54936143761302,118.2213099005425,1106,8848,8848,m1_higher,4B s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
out_of_candidate_block_rate,0.027345255790861518,0.27110438095038486,0.24375912515952333,0.23117393028454072,0.2570233549274266,1106,8848,8848,m1_higher,4B s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
out_of_text_endpoint_rate,0.011093495245966308,0.1307263857814293,0.119632890535463,0.10876756201328211,0.1310772894567055,1106,8848,8848,m1_higher,4B s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
strict_f1,0.09074541474238673,0.08217328712540317,-0.00857212761698356,-0.01066946878117974,-0.006439513648434465,1106,8848,8848,m1_lower,4B s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
relaxed_f1,0.33887731691553613,0.2913094407817419,-0.04756787613379421,-0.05222430319188226,-0.04283200661846722,1106,8848,8848,m1_lower,4B s42,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
