metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,contrast,m0_tag,m1_tag
semantic_capture_rate,0.05515370705244123,0.04950271247739602,-0.005650994575045205,-0.01232199367088608,0.000567924954792027,1106,8848,8848,interval_covers_zero,5% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p5-s42
stable_orbit_rate,0.00599005424954792,0.00599005424954792,0.0,-0.002263223327305606,0.002373417721518987,1106,8848,8848,interval_covers_zero,5% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p5-s42
hit_max_rate,0.011415009041591321,0.007572332730560578,-0.0038426763110307426,-0.007007233273056058,-0.0009013336347197259,1106,8848,8848,m1_lower,5% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p5-s42
runaway_any_rate,0.010962929475587703,0.007572332730560578,-0.0033905967450271243,-0.006442133815551538,-0.00022603978300180828,1106,8848,8848,m1_lower,5% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p5-s42
json_list_complete_rate,0.9873417721518988,0.9912974683544303,0.003955696202531556,0.0007911392405063333,0.00734629294755873,1106,8848,8848,m1_higher,5% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p5-s42
gen_tokens_mean,4733.512658227848,4759.520569620253,26.00791139240482,-53.01307075045185,103.20788313743238,1106,8848,8848,interval_covers_zero,5% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p5-s42
n_blocks_mean,80.91478300180832,81.20354882459313,0.28876582278481067,-1.1258419981916805,1.6359996609403196,1106,8848,8848,interval_covers_zero,5% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p5-s42
out_of_candidate_block_rate,0.027345255790861518,0.0697876793996834,0.04244242360882189,0.03763086044053478,0.04725168706901931,1106,8848,8848,m1_higher,5% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p5-s42
out_of_text_endpoint_rate,0.011093495245966308,0.02532512776260207,0.014231632516635763,0.01044137283961798,0.017679040953980114,1106,8848,8848,m1_higher,5% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p5-s42
strict_f1,0.09074541474238673,0.09064277790874682,-0.00010263683363991027,-0.001731160572887845,0.0015907050694450812,1106,8848,8848,interval_covers_zero,5% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p5-s42
relaxed_f1,0.33887731691553613,0.3349956419876313,-0.00388167492790481,-0.006913702538400107,-0.000783548524761941,1106,8848,8848,m1_lower,5% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p5-s42
semantic_capture_rate,0.05515370705244123,0.07368896925858952,0.01853526220614829,0.011188969258589518,0.025881555153707048,1106,8848,8848,m1_higher,10% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p10-s42
stable_orbit_rate,0.00599005424954792,0.010736889692585894,0.004746835443037974,0.0019213381555153713,0.007685352622061483,1106,8848,8848,m1_higher,10% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p10-s42
hit_max_rate,0.011415009041591321,0.014014466546112115,0.0025994575045207944,-0.0009041591320072331,0.006103074141048825,1106,8848,8848,interval_covers_zero,10% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p10-s42
runaway_any_rate,0.010962929475587703,0.013110307414104882,0.0021473779385171796,-0.0011301989150090414,0.0054249547920434005,1106,8848,8848,interval_covers_zero,10% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p10-s42
json_list_complete_rate,0.9873417721518988,0.983612115732369,-0.0037296564195298254,-0.0075723327305605714,0.00022603978300173022,1106,8848,8848,interval_covers_zero,10% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p10-s42
gen_tokens_mean,4733.512658227848,5038.816681735985,305.3040235081371,217.76424898282093,395.94916930379753,1106,8848,8848,m1_higher,10% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p10-s42
n_blocks_mean,80.91478300180832,86.0119801084991,5.0971971066907855,3.558558431283899,6.671312726039783,1106,8848,8848,m1_higher,10% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p10-s42
out_of_candidate_block_rate,0.027345255790861518,0.10096181280743201,0.0736165570165705,0.06700023332569638,0.08044347827362487,1106,8848,8848,m1_higher,10% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p10-s42
out_of_text_endpoint_rate,0.011093495245966308,0.038869106720991545,0.027775611475025237,0.022734841143939824,0.03304630819135522,1106,8848,8848,m1_higher,10% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p10-s42
strict_f1,0.09074541474238673,0.08800932849823259,-0.00273608624415414,-0.0044736347021842,-0.0010628889470326518,1106,8848,8848,m1_lower,10% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p10-s42
relaxed_f1,0.33887731691553613,0.32581777824914393,-0.0130595386663922,-0.01636216359524921,-0.009611352972586728,1106,8848,8848,m1_lower,10% - 0% s42,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p10-s42
