scale,condition,train_seed,n_responses,continuous_pattern_repetition,stable_token_orbit,hit_context_limit,gen_tokens_mean,triple_f1,entity_pair_f1
1.7B,no SFT,--,8848,0.48519439421338156,0.17585895117540687,0.4509493670886076,14592.978978300182,0.0168,0.1045
1.7B,entity-constraint cleaned,42,8848,0.25949367088607594,0.06498643761301989,0.18026672694394213,8684.531871609403,0.0651,0.2577
1.7B,raw,42,8848,0.6057866184448463,0.22875226039783003,0.546112115732369,18020.635736889693,0.0522,0.19
4B,no SFT,--,8848,0.012884267631103074,0.0003390596745027125,0.0003390596745027125,3024.0301763110306,0.0449,0.2323
4B,entity-constraint cleaned,42,8848,0.05515370705244123,0.00599005424954792,0.011415009041591321,4733.512658227848,0.0907,0.3389
4B,raw,42,8848,0.32301084990958406,0.07041139240506329,0.21055605786618445,11000.774525316456,0.0822,0.2913
4B,entity-constraint cleaned,123,8848,0.04396473779385172,0.005085895117540687,0.00949367088607595,4638.57075045208,0.0924,0.3389
4B,raw,123,8848,0.33374773960216997,0.08476491862567812,0.22050180831826402,11155.988584990959,0.0816,0.2918
8B,no SFT,--,8848,0.10273508137432188,0.010171790235081375,0.07933996383363472,5514.09414556962,0.0409,0.2228
8B,entity-constraint cleaned,42,8848,0.07131555153707052,0.005085895117540687,0.018309222423146473,5165.542495479204,0.0974,0.3539
8B,raw,42,8848,0.3178119349005425,0.06204792043399638,0.2587025316455696,11841.471971066907,0.0866,0.2978
